ClassId;Dependencies;tryStatement;ifStatement;forStatement;enhancedForStatement/* foreach */;doStatement;whileStatement;switchCase;switchStatement;catchClause;totalBranches;numOfStatements;FieldDeclaration;synchronizedStatement;methodDeclaration;privateMethod;publicMethod;staticMethod;anonymousClassDeclaration;nbMemberClasses;nbStringParams;nbPrimitiveParams;nbOtherTypesParams;nbOtherTypesParamsLibrary;parameterizedTypeParam;arrayTypeParam;javaImports;trowStatement;NestedBlocks;MaxDepth
org.asynchttpclient.cookie.CookieUtil;2;0;5;2;0;0;0;0;0;0;7;41;2;0;8;3;0;7;0;0;1;0;6;6;0;0;3;0;3;2;
org.asynchttpclient.HttpResponseHeaders;0;0;0;0;0;0;0;0;0;0;0;3;1;0;4;0;4;0;0;0;0;1;0;0;0;0;0;0;0;0;
org.asynchttpclient.util.Base64;1;0;2;11;0;0;0;0;0;0;13;55;2;0;3;1;2;2;0;0;1;0;1;1;0;1;0;0;2;2;
org.asynchttpclient.internal.chmv8.CountedCompleter;3;3;12;4;1;2;2;0;0;3;24;71;5;0;25;1;18;1;1;0;0;5;8;2;4;0;1;3;5;3;
org.asynchttpclient.internal.chmv8.LongAdder;2;0;6;2;0;0;0;0;0;0;8;32;1;0;15;2;12;0;0;0;0;3;2;2;0;0;2;0;3;3;
org.asynchttpclient.util.MiscUtils;6;1;1;0;0;0;0;0;0;1;2;12;0;0;10;1;9;9;0;0;3;1;7;5;2;2;4;0;1;2;
org.asynchttpclient.request.body.multipart.MultipartUtils;10;3;12;1;2;0;2;0;0;2;19;63;3;0;7;3;4;6;0;0;1;0;8;7;2;4;18;5;3;4;
org.asynchttpclient.config.AsyncHttpClientConfigDefaults;0;0;0;0;0;0;0;0;0;0;0;32;1;0;33;1;32;32;0;0;0;0;0;0;0;0;0;0;0;0;
org.asynchttpclient.RequestBuilder;19;0;0;0;0;0;0;0;0;0;0;29;0;0;29;0;29;0;0;0;15;2;17;8;6;1;22;0;0;0;
org.asynchttpclient.FluentCaseInsensitiveStringsMap;7;0;30;0;11;0;0;0;0;0;41;107;2;0;34;1;33;0;0;0;14;0;17;14;9;0;12;1;13;4;
org.asynchttpclient.util.Utf8UrlDecoder;1;0;6;0;0;0;1;0;0;0;7;22;0;0;5;3;2;4;0;0;3;6;1;1;0;0;5;2;1;4;
org.asynchttpclient.request.body.multipart.AbstractFilePart;3;0;1;0;0;0;0;0;0;0;1;22;5;0;9;0;6;0;0;0;5;1;3;2;0;1;4;0;0;1;
org.asynchttpclient.simple.consumer.FileBodyConsumer;2;0;0;0;0;0;0;0;0;0;0;5;1;0;5;0;5;0;0;0;0;0;2;2;0;0;3;0;0;0;
org.asynchttpclient.util.StringUtils;3;0;0;0;0;0;0;0;0;0;0;7;1;0;6;1;4;4;1;0;0;0;5;5;0;0;3;0;0;0;
org.asynchttpclient.simple.consumer.ByteBufferBodyConsumer;1;0;0;0;0;0;0;0;0;0;0;3;1;0;3;0;3;0;0;0;0;0;2;2;0;0;6;0;0;0;
org.asynchttpclient.request.body.generator.ByteArrayBodyGenerator;2;0;2;0;0;0;0;0;0;0;2;14;3;0;5;0;5;0;0;1;0;0;2;2;0;1;11;0;0;1;
org.asynchttpclient.ResponseBase;27;0;4;0;0;0;0;6;1;0;10;33;4;0;17;0;14;0;0;0;2;0;4;2;1;0;17;0;1;2;
org.asynchttpclient.request.body.multipart.PartBase;4;1;8;0;1;0;0;0;0;1;10;71;7;0;22;0;12;0;0;0;7;0;14;6;0;3;13;1;2;2;
org.asynchttpclient.request.body.multipart.OutputStreamPartVisitor;2;0;0;0;0;0;0;0;0;0;0;4;1;0;4;0;4;0;0;0;0;1;2;2;0;1;2;0;0;0;
org.asynchttpclient.request.body.multipart.FileUploadStalledException;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
org.asynchttpclient.handler.MaxRedirectException;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;
org.asynchttpclient.cookie.CookieEncoder;2;0;3;0;1;0;0;0;0;0;4;14;0;0;3;2;1;2;0;0;2;1;2;2;1;0;2;0;0;1;
org.asynchttpclient.cookie.RFC2616DateParser;1;0;2;0;0;0;0;0;0;0;2;13;5;0;6;1;2;1;1;2;1;0;1;1;0;0;5;0;0;1;
org.asynchttpclient.extra.ThrottleRequestFilter;1;0;0;0;0;0;0;0;0;0;0;4;3;0;4;0;4;0;0;0;0;6;1;0;1;0;7;0;0;0;
org.asynchttpclient.request.body.multipart.FilePart;5;5;7;0;0;0;2;0;0;3;12;50;2;1;10;0;8;0;0;0;17;0;13;13;0;1;11;5;1;4;
org.asynchttpclient.uri.UriParser;2;0;42;2;0;0;4;0;0;0;48;141;9;0;32;31;1;1;0;0;11;3;3;0;0;0;0;4;12;4;
org.asynchttpclient.filter.FilterException;1;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;2;0;1;1;0;0;0;0;0;0;
org.asynchttpclient.ws.WebSocketUtils;1;2;0;1;0;0;0;0;0;2;3;14;1;0;7;0;7;7;0;0;1;3;3;3;0;3;4;2;0;1;
org.asynchttpclient.util.AsyncHttpProviderUtils;27;0;6;0;2;0;0;0;0;0;8;30;3;0;14;2;12;14;0;0;2;0;19;6;2;0;10;1;1;3;
org.asynchttpclient.filter.FilterContext;32;0;0;0;0;0;0;0;0;0;0;26;7;0;18;1;17;0;0;1;0;1;7;1;3;0;5;0;0;0;
org.asynchttpclient.webdav.WebDavResponse;3;0;0;0;0;0;0;0;0;0;0;22;2;0;21;0;21;0;0;0;2;0;3;2;0;0;11;0;0;0;
org.asynchttpclient.config.AsyncHttpClientConfigHelper;0;0;4;0;0;0;0;0;0;0;4;17;6;0;10;1;9;2;1;1;7;0;0;0;0;0;4;0;0;1;
org.asynchttpclient.simple.consumer.OutputStreamBodyConsumer;2;0;0;0;0;0;0;0;0;0;0;3;1;0;3;0;3;0;0;0;0;0;2;2;0;0;3;0;0;0;
org.asynchttpclient.request.body.multipart.ByteArrayPart;4;1;1;0;0;0;0;0;0;0;1;19;1;0;10;0;8;0;0;0;17;0;13;13;0;7;4;1;0;1;
org.asynchttpclient.request.body.generator.FileBodyGenerator;1;0;1;0;0;0;0;0;0;0;1;10;3;0;6;0;6;0;0;0;0;2;2;2;0;0;3;2;0;1;
org.asynchttpclient.DefaultAsyncHttpClient;29;2;2;0;0;0;0;0;0;1;3;34;5;0;27;1;23;0;1;0;11;0;11;0;2;0;10;0;0;1;
org.asynchttpclient.future.ExecutionList;2;1;4;0;0;0;1;0;0;1;6;19;5;2;4;0;2;0;0;1;0;0;4;4;0;0;5;2;0;1;
org.asynchttpclient.util.SslUtils;25;1;3;0;0;0;0;0;0;2;5;14;2;0;6;1;5;1;0;2;2;0;3;2;0;2;8;2;1;2;
org.asynchttpclient.util.StringCharSequence;0;0;1;0;0;0;0;0;0;0;1;9;3;0;5;0;5;0;0;0;1;5;0;0;0;0;0;1;0;1;
org.asynchttpclient.request.body.multipart.MultipartBody;7;1;18;0;2;0;1;4;1;1;26;86;13;0;12;5;7;0;0;0;1;3;8;7;1;2;10;1;4;6;
org.asynchttpclient.ntlm.NtlmEngineException;1;0;0;0;0;0;0;0;0;0;0;3;1;0;3;0;3;0;0;0;2;0;1;1;0;0;0;0;0;0;
org.asynchttpclient.ntlm.NtlmUtils;1;0;2;0;1;0;0;0;0;0;3;5;0;0;2;1;1;1;0;0;0;0;1;1;1;0;1;0;1;3;
org.asynchttpclient.AsyncCompletionHandler;31;0;0;0;0;0;0;0;0;0;0;12;2;0;9;0;9;0;0;0;0;3;5;1;0;0;3;0;0;0;
org.asynchttpclient.util.DateUtils;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;
org.asynchttpclient.handler.resumable.PropertiesBasedResumableProcessor;2;2;6;0;1;0;1;0;0;3;11;32;4;0;5;1;4;1;0;0;2;1;2;2;2;0;12;3;0;1;
org.asynchttpclient.webdav.WebDavCompletionHandlerBase;34;1;2;1;0;0;0;0;0;3;6;57;7;0;37;2;35;0;1;1;3;1;11;5;1;0;26;4;1;2;
org.asynchttpclient.spnego.SpnegoEngine;1;2;9;0;0;0;0;0;0;3;12;42;5;0;4;0;4;1;0;0;1;0;1;0;0;0;10;7;2;2;
org.asynchttpclient.oauth.RequestToken;2;0;3;0;0;0;0;0;0;0;3;20;2;0;7;1;6;0;0;0;3;0;2;2;0;0;0;0;0;1;
org.asynchttpclient.extra.AsyncHandlerWrapper;32;2;2;0;0;0;0;0;0;0;2;15;4;0;7;1;6;0;0;0;0;0;6;2;1;0;8;0;0;1;
org.asynchttpclient.AsyncHttpClientConfig;24;3;4;0;0;0;0;0;0;3;7;239;85;0;96;1;94;0;0;1;2;56;31;15;5;4;19;0;1;2;
org.asynchttpclient.request.body.multipart.FilePartStallHandler;4;0;3;0;0;0;0;0;0;0;3;14;4;0;6;0;6;0;0;0;0;1;1;0;0;0;2;0;0;1;
org.asynchttpclient.netty.request.NettyRequestFactoryBase;25;1;17;0;0;0;0;18;3;1;36;75;1;0;8;0;1;0;0;0;0;5;14;0;0;0;17;3;6;3;
org.asynchttpclient.request.body.multipart.CounterPartVisitor;1;0;0;0;0;0;0;0;0;0;0;3;1;0;3;0;3;0;0;0;0;1;1;1;0;1;1;0;0;0;
org.asynchttpclient.request.body.multipart.StringPart;4;0;2;0;0;0;0;0;0;0;2;20;5;0;13;3;8;3;0;0;19;0;8;8;0;2;7;2;0;1;
