ClassId;Dependencies;tryStatement;ifStatement;forStatement;enhancedForStatement/* foreach */;doStatement;whileStatement;switchCase;switchStatement;catchClause;totalBranches;numOfStatements;FieldDeclaration;synchronizedStatement;methodDeclaration;privateMethod;publicMethod;staticMethod;anonymousClassDeclaration;nbMemberClasses;nbStringParams;nbPrimitiveParams;nbOtherTypesParams;nbOtherTypesParamsLibrary;parameterizedTypeParam;arrayTypeParam;javaImports;trowStatement;NestedBlocks;MaxDepth
;2;0;0;0;0;0;0;0;0;0;0;6;1;0;7;2;5;0;4;0;0;13;5;5;0;0;0;0;0;0;
com.puppycrawl.tools.checkstyle.grammars.InputJava7StringSwitch;1;0;0;0;0;0;0;3;1;0;3;7;0;0;1;0;1;1;0;0;0;0;1;1;0;1;0;0;0;1;
com.puppycrawl.tools.checkstyle.checks.design.InputRegression1762702;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;
com.puppycrawl.tools.checkstyle.checks.AbstractFormatCheck;0;1;0;0;0;0;0;0;0;1;1;11;3;0;7;1;6;0;0;0;4;3;0;0;0;0;5;1;0;1;
com.puppycrawl.tools.checkstyle.grammars.InputJava7TryWithResources;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;1;0;1;0;0;1;1;0;1;0;0;0;0;
com.puppycrawl.tools.checkstyle.checks.coding.MissingCtorCheckTest;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;4;0;0;0;
com.puppycrawl.tools.checkstyle.checks.indentation.PrimordialHandler;2;0;0;0;0;0;0;0;0;0;0;3;0;0;4;0;3;0;0;0;0;0;2;2;0;0;0;0;0;0;
com.puppycrawl.tools.checkstyle.checks.coding.SuperCloneCheck;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
com.puppycrawl.tools.checkstyle.metrics.TestTopLevelNestedClass;0;0;1;1;0;0;0;0;0;0;2;5;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;
InputInheritDoc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2;2;4;0;0;0;0;0;0;0;0;0;0;0;0;
com.puppycrawl.tools.checkstyle.checks.design.FinalClassCheck;1;0;5;0;0;0;0;0;0;0;5;20;5;0;11;0;4;0;0;1;0;2;2;2;0;0;5;0;1;3;
com.puppycrawl.tools.checkstyle.indentation.InputInvalidSwitchIndent;0;0;0;0;0;0;0;12;6;0;12;33;3;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;
com.puppycrawl.tools.checkstyle.InputHiddenFieldBug1084512;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;
com.puppycrawl.tools.checkstyle.checks.design.InputMutableException;0;0;0;0;0;0;0;0;0;0;0;2;5;0;2;0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;
com.puppycrawl.tools.checkstyle.InputFinalClass;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
com.puppycrawl.tools.checkstyle.InputWriteTag;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;
com.puppycrawl.tools.checkstyle.checks.coding.FinalLocalVariableCheckTest;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2;0;2;0;0;0;0;0;0;0;0;0;3;0;0;0;
com.puppycrawl.tools.checkstyle.InputSemantic;2;4;1;0;0;0;0;0;0;8;9;17;3;0;13;0;10;0;2;6;1;2;4;4;1;0;3;0;0;1;
com.puppycrawl.tools.checkstyle.checks.NewlineAtEndOfFileCheck;3;2;3;0;0;0;0;0;0;2;5;15;1;0;3;1;1;0;0;0;1;0;3;3;1;0;7;2;0;1;
com.puppycrawl.tools.checkstyle.checks.indentation.IndentationCheck;2;1;2;0;0;0;0;0;0;1;3;22;6;0;14;0;13;0;0;0;1;4;4;4;0;0;5;0;0;1;
com.puppycrawl.tools.checkstyle.indentation.bug1251988;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
com.puppycrawl.tools.checkstyle.coding.AnotherClass;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;
com.puppycrawl.tools.checkstyle.javadoc.bothfiles.Ignored;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
com.puppycrawl.tools.checkstyle.checks.coding.AbstractNestedDepthCheck;1;0;1;0;0;0;0;0;0;0;1;9;2;0;7;0;5;0;0;0;1;2;2;2;0;0;2;0;0;1;
com.puppycrawl.tools.checkstyle.checks.indentation.AssignHandler;3;0;5;0;0;0;0;0;0;0;5;14;0;0;4;0;3;0;0;0;0;0;4;4;0;0;2;0;0;1;
com.puppycrawl.tools.checkstyle.checks.coding.NestedForDepthCheckTest;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;2;0;0;0;0;0;0;0;0;0;3;0;0;0;
ForEach;1;0;0;0;1;0;0;0;0;0;1;1;3;0;1;0;1;0;0;0;0;0;1;1;1;0;0;0;0;1;
com.puppycrawl.tools.checkstyle.imports.InputImport;0;0;0;0;0;0;0;0;0;0;0;1;9;0;2;0;2;0;0;0;0;0;0;0;0;0;28;0;0;0;
InnerDup;0;0;0;0;0;0;0;0;0;0;0;36;1;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;
com.puppycrawl.tools.checkstyle.checks.annotation.SuppressWarningsCheck;1;0;9;0;0;0;1;0;0;0;10;36;2;0;11;7;4;0;0;0;2;2;6;6;0;0;5;0;1;4;
com.puppycrawl.tools.checkstyle.checks.javadoc.Input_1379666;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4;0;3;0;0;1;1;0;0;0;0;0;0;0;0;0;
com.puppycrawl.tools.checkstyle.gui.ParseTreeInfoPanel;6;2;4;0;2;0;0;0;0;3;9;57;11;0;16;2;14;3;1;4;2;0;9;9;0;1;25;0;1;2;
com.puppycrawl.tools.checkstyle.checks.javadoc.WriteTagCheckTest;3;0;0;1;0;0;0;0;0;0;1;51;1;0;15;0;14;0;0;0;1;0;3;3;0;2;14;0;0;1;
com.puppycrawl.tools.checkstyle.ComplexityCheckTestInput;0;0;15;0;0;0;3;0;0;0;18;20;0;0;8;0;8;0;2;0;0;1;0;0;0;0;0;0;7;3;
com.puppycrawl.tools.checkstyle.checks.whitespace.EmptyForInitializerPadCheck;1;0;4;0;0;0;0;0;0;0;4;8;0;0;3;0;3;0;0;0;0;0;1;1;0;0;4;0;1;4;
com.puppycrawl.tools.checkstyle.filters.SuppressElementTest;0;0;0;0;0;0;0;0;0;0;0;31;1;0;6;0;6;0;0;0;0;0;0;0;0;0;8;0;0;0;
com.puppycrawl.tools.checkstyle.checks.metrics.CyclomaticComplexityCheck;1;0;0;0;0;0;0;0;0;0;0;4;1;0;4;0;2;0;0;0;0;0;1;1;0;0;3;0;0;0;
com.puppycrawl.tools.checkstyle.checks.naming.MethodNameCheck;1;0;2;0;0;0;0;0;0;0;2;7;1;0;4;0;4;0;0;0;0;1;1;1;0;0;2;0;1;2;
com.puppycrawl.tools.checkstyle.filters.SuppressionsLoader;2;4;9;0;0;0;0;0;0;9;18;41;5;0;6;3;3;3;0;0;5;0;2;2;0;0;16;11;2;3;
InputRedundantThrows;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
com.puppycrawl.tools.checkstyle.annotation.Dep;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
com.puppycrawl.tools.checkstyle.checks.coding.UnnecessaryParenthesesCheck;2;0;15;1;0;0;0;0;0;0;16;43;6;0;7;4;3;0;0;0;1;1;5;5;0;1;4;1;3;4;
