ClassId;Dependencies;tryStatement;ifStatement;forStatement;enhancedForStatement/* foreach */;doStatement;whileStatement;switchCase;switchStatement;catchClause;totalBranches;numOfStatements;FieldDeclaration;synchronizedStatement;methodDeclaration;privateMethod;publicMethod;staticMethod;anonymousClassDeclaration;nbMemberClasses;nbStringParams;nbPrimitiveParams;nbOtherTypesParams;nbOtherTypesParamsLibrary;parameterizedTypeParam;arrayTypeParam;javaImports;trowStatement;NestedBlocks;MaxDepth
de.tudarmstadt.ukp.wikipedia.revisionmachine.index.Indexer;10;2;7;0;0;0;0;2;1;4;13;66;12;0;4;1;3;0;0;0;0;0;2;0;0;0;15;4;1;3;
de.tudarmstadt.ukp.wikipedia.revisionmachine.index.IndexGenerator;4;5;9;0;0;0;1;0;0;5;15;51;1;0;4;1;3;2;0;0;1;0;2;1;0;1;10;2;3;4;
de.tudarmstadt.ukp.wikipedia.revisionmachine.difftool.consumer.diff.calculation.BlockManagement;3;0;11;1;0;0;1;0;0;0;13;78;5;0;8;6;2;0;0;0;0;2;15;9;2;7;23;0;1;6;
de.tudarmstadt.ukp.wikipedia.revisionmachine.index.indices.ChronoIndexData;2;0;6;0;0;0;0;0;0;0;6;23;4;0;8;0;8;0;0;0;0;4;2;1;0;0;0;0;1;2;
de.tudarmstadt.ukp.wikipedia.revisionmachine.common.exceptions.ConfigurationException;2;0;0;0;0;0;0;0;0;0;0;6;1;0;5;0;5;0;0;0;3;0;3;2;0;0;0;0;0;0;
de.tudarmstadt.ukp.wikipedia.revisionmachine.difftool.consumer.sql.SQLEscape;0;0;0;1;0;0;0;10;1;0;11;34;0;0;2;1;1;1;0;0;1;0;0;0;0;0;0;0;1;2;
de.tudarmstadt.ukp.wikipedia.revisionmachine.difftool.config.gui.panels.OutputPanel;21;1;13;0;0;0;0;10;3;1;24;154;10;0;13;3;10;0;5;0;0;0;9;6;0;0;18;1;2;4;
de.tudarmstadt.ukp.wikipedia.revisionmachine.common.util.Time;0;0;14;0;0;0;0;0;0;0;14;59;6;0;4;0;4;1;0;0;0;2;0;0;0;0;0;0;0;1;
de.tudarmstadt.ukp.wikipedia.revisionmachine.difftool.config.gui.panels.ExternalProgramsPanel;21;0;5;0;0;0;0;0;0;0;5;50;5;0;9;2;7;0;2;0;0;0;6;3;0;0;17;0;1;3;
de.tudarmstadt.ukp.wikipedia.revisionmachine.api.ChronoRevisionIterator;4;5;16;0;0;0;1;8;2;6;31;107;13;0;10;3;7;1;0;0;0;2;3;1;0;1;8;12;2;3;
