ClassId;Dependencies;tryStatement;ifStatement;forStatement;enhancedForStatement/* foreach */;doStatement;whileStatement;switchCase;switchStatement;catchClause;totalBranches;numOfStatements;FieldDeclaration;synchronizedStatement;methodDeclaration;privateMethod;publicMethod;staticMethod;anonymousClassDeclaration;nbMemberClasses;nbStringParams;nbPrimitiveParams;nbOtherTypesParams;nbOtherTypesParamsLibrary;parameterizedTypeParam;arrayTypeParam;javaImports;trowStatement;NestedBlocks;MaxDepth
com.facebook.FacebookAuthorizationException;1;0;0;0;0;0;0;0;0;0;0;4;1;0;4;0;4;0;0;0;2;0;2;2;0;0;0;0;0;0;
com.facebook.internal.LikeStatusClient;2;0;0;0;0;0;0;0;0;0;0;3;1;0;2;0;0;0;0;0;2;0;2;2;0;0;2;0;0;0;
com.facebook.LoginActivity;4;0;2;0;0;0;0;0;0;0;2;34;9;0;10;1;7;1;2;0;0;2;6;3;0;0;6;0;0;1;
com.facebook.NativeAppCallAttachmentStore;8;6;7;0;2;0;1;0;0;4;14;55;3;0;12;1;6;1;2;0;2;2;22;21;4;0;11;3;1;3;
com.facebook.FacebookException;1;0;0;0;0;0;0;0;0;0;0;4;1;0;4;0;4;0;0;0;2;0;2;2;0;0;0;0;0;0;
com.facebook.FacebookTimeSpentData;89;0;8;0;0;0;1;0;0;0;9;67;26;0;15;10;0;1;0;2;3;20;3;0;0;0;4;0;1;2;
com.facebook.RequestAsyncTask;75;2;6;0;1;0;0;0;0;3;10;32;5;0;13;0;7;0;0;0;0;0;11;7;3;0;10;0;2;3;
com.facebook.Settings;6;8;25;0;0;0;0;0;0;8;33;129;31;7;39;1;35;36;3;0;6;7;15;11;0;0;32;3;2;3;
com.facebook.NonCachingTokenCachingStrategy;1;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;3;0;0;0;0;0;1;1;0;0;1;0;0;0;
com.facebook.android.AsyncFacebookRunner;82;2;1;0;0;0;0;0;0;6;7;23;1;0;12;0;12;0;2;0;6;0;22;12;0;0;5;0;0;1;
com.facebook.widget.PickerFragment;96;0;63;1;1;0;0;0;0;0;65;261;38;0;108;7;55;1;9;5;15;16;62;38;14;0;24;2;10;4;
com.facebook.model.JsonUtil;3;1;1;0;1;0;5;0;0;1;8;25;2;0;10;0;3;6;0;1;1;0;10;10;1;0;18;2;2;2;
com.facebook.internal.Logger;3;0;8;0;1;0;0;0;0;0;9;35;6;0;17;2;15;6;0;0;15;2;8;4;0;0;5;0;1;2;
com.facebook.android.FbDialog;5;0;4;0;0;0;0;0;0;0;4;19;1;0;7;2;5;0;1;0;4;2;15;8;0;0;7;0;1;3;
com.facebook.internal.Validate;3;0;9;0;3;0;0;0;0;0;12;25;0;0;7;0;7;7;0;0;8;0;7;7;4;0;1;7;3;3;
com.facebook.android.Util;3;4;21;1;5;0;0;0;0;3;30;89;1;0;8;1;7;8;0;0;8;0;5;5;0;0;8;6;4;4;
com.facebook.internal.UrlRedirectCache;2;3;4;0;0;0;2;0;0;4;10;26;3;0;4;0;0;4;0;0;0;0;7;7;0;0;9;0;1;2;
com.facebook.widget.UserSettingsFragment;81;1;16;0;0;0;0;0;0;1;17;83;13;0;25;4;19;0;2;0;3;0;17;7;2;0;20;0;4;5;
