ClassId;Dependencies;tryStatement;ifStatement;forStatement;enhancedForStatement/* foreach */;doStatement;whileStatement;switchCase;switchStatement;catchClause;totalBranches;numOfStatements;FieldDeclaration;synchronizedStatement;methodDeclaration;privateMethod;publicMethod;staticMethod;anonymousClassDeclaration;nbMemberClasses;nbStringParams;nbPrimitiveParams;nbOtherTypesParams;nbOtherTypesParamsLibrary;parameterizedTypeParam;arrayTypeParam;javaImports;trowStatement;NestedBlocks;MaxDepth
com.facebook.common.time.SystemClock;0;0;0;0;0;0;0;0;0;0;0;2;1;0;3;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;
com.facebook.common.streams.LimitedInputStream;2;0;9;0;0;0;0;0;0;0;9;29;2;0;7;0;7;0;0;0;0;5;2;2;0;1;3;4;0;1;
com.facebook.common.logging.FLogDefaultLoggingDelegate;1;0;2;0;0;0;0;0;0;0;2;28;3;0;24;6;18;3;0;0;33;5;9;9;0;0;3;0;0;1;
com.facebook.datasource.IncreasingQualityDataSourceSupplier;3;0;14;2;0;0;0;0;0;0;16;58;4;2;23;9;14;1;0;2;0;8;12;3;11;0;9;0;2;2;
com.facebook.datasource.BaseDataSubscriber;1;2;1;0;0;0;0;0;0;0;1;7;0;0;6;0;4;0;0;0;0;0;6;0;6;0;0;0;0;1;
com.facebook.common.file.FileUtils;2;0;8;0;0;0;0;0;0;0;8;27;0;0;8;0;8;2;0;4;6;0;5;5;0;0;5;3;2;3;
com.facebook.common.file.FileTree;2;0;4;0;2;0;0;0;0;0;6;14;0;0;3;0;3;3;0;0;0;0;4;3;0;0;1;0;2;3;
com.facebook.common.internal.Closeables;3;3;2;0;0;0;0;0;0;3;5;13;1;0;4;1;3;3;0;0;0;1;3;3;0;0;7;3;1;2;
com.facebook.common.disk.NoOpDiskTrimmableRegistry;1;0;1;0;0;0;0;0;0;0;1;3;1;0;4;1;3;1;0;0;0;0;2;0;0;0;0;0;0;1;
com.facebook.common.media.MediaUtils;0;0;3;0;0;0;0;0;0;0;3;12;1;0;5;1;4;5;0;0;5;0;0;0;0;0;5;0;0;1;
com.facebook.common.executors.CallerThreadExecutor;2;0;0;0;0;0;0;0;0;0;0;7;1;0;8;1;7;1;0;0;0;1;2;2;0;0;4;0;0;0;
com.facebook.common.references.OOMSoftReference;1;0;3;0;0;0;0;0;0;0;3;16;3;0;4;0;4;0;0;0;0;0;1;0;0;0;3;0;0;1;
com.facebook.common.streams.TailAppendingInputStream;2;0;9;0;0;0;1;0;0;0;10;30;3;0;7;1;6;0;0;0;0;3;4;4;0;3;4;3;1;2;
com.facebook.common.util.SecureHashUtil;1;5;0;0;1;0;0;0;0;7;8;24;1;0;6;1;5;6;0;0;2;0;4;4;0;4;4;7;0;1;
com.facebook.datasource.AbstractDataSource;4;1;18;0;2;0;0;0;0;0;20;79;6;4;23;6;11;0;2;0;0;6;9;4;2;0;6;0;3;2;
com.facebook.datasource.SettableDataSource;2;0;0;0;0;0;0;0;0;0;0;5;0;0;6;1;5;1;0;0;0;2;3;1;0;0;1;0;0;0;
com.facebook.common.internal.Throwables;4;0;1;0;0;0;2;0;0;0;3;21;0;0;9;1;8;8;0;0;0;0;12;12;4;0;6;2;0;1;
com.facebook.common.internal.CountingOutputStream;2;0;0;0;0;0;0;0;0;0;0;8;1;0;5;0;5;0;0;0;0;3;2;2;0;1;3;0;0;0;
com.facebook.common.executors.UiThreadExecutorService;0;0;1;0;0;0;0;0;0;0;1;4;1;0;2;1;1;1;0;0;0;0;0;0;0;0;3;0;0;1;
com.facebook.common.internal.Preconditions;2;0;20;0;0;0;2;0;0;0;22;62;0;0;19;4;14;18;0;0;8;24;10;7;0;0;1;14;4;2;
com.facebook.common.executors.HandlerExecutorServiceImpl;6;0;2;0;0;0;0;0;0;0;2;26;1;0;18;0;16;0;0;0;0;7;18;16;3;0;9;7;0;1;
com.facebook.common.time.RealtimeSinceBootClock;0;0;0;0;0;0;0;0;0;0;0;2;1;0;3;1;2;1;0;0;0;0;0;0;0;0;1;0;0;0;
com.facebook.common.util.UriUtil;1;0;0;0;0;0;0;0;0;0;0;8;7;0;8;0;8;8;0;0;1;0;7;7;0;0;2;0;0;0;
com.facebook.common.executors.UiThreadImmediateExecutorService;1;0;2;0;0;0;0;0;0;0;2;7;1;0;3;1;2;1;0;0;0;0;1;1;0;0;3;0;0;1;
com.facebook.common.references.CloseableReference;8;2;6;0;1;0;0;0;0;1;8;38;4;2;18;2;15;7;1;0;0;0;12;3;8;0;11;0;1;2;
com.facebook.common.internal.AndroidPredicates;1;0;0;0;0;0;0;0;0;0;0;4;0;0;5;1;4;2;2;0;0;0;2;0;0;0;1;0;0;0;
