ClassId;Dependencies;tryStatement;ifStatement;forStatement;enhancedForStatement/* foreach */;doStatement;whileStatement;switchCase;switchStatement;catchClause;totalBranches;numOfStatements;FieldDeclaration;synchronizedStatement;methodDeclaration;privateMethod;publicMethod;staticMethod;anonymousClassDeclaration;nbMemberClasses;nbStringParams;nbPrimitiveParams;nbOtherTypesParams;nbOtherTypesParamsLibrary;parameterizedTypeParam;arrayTypeParam;javaImports;trowStatement;NestedBlocks;MaxDepth
com.google.gdata.wireformats.ForwardingStreamProperties;1;0;0;0;0;0;0;0;0;0;0;8;1;0;7;0;7;0;0;0;1;0;1;0;0;0;5;0;0;0;
com.google.gdata.model.ElementMetadataImpl;65;0;37;0;8;0;0;0;0;0;45;124;15;0;35;6;28;1;0;0;1;0;28;5;13;0;20;0;10;4;
com.google.gdata.model.gd.Money;42;0;5;0;0;0;0;0;0;0;5;26;3;0;13;0;11;1;0;0;1;0;6;2;2;0;7;0;0;1;
com.google.gdata.data.Kind;25;5;14;3;2;0;3;0;0;7;29;73;2;0;10;0;10;4;0;2;5;0;7;3;1;0;25;6;7;3;
com.google.gdata.util.parser.Parser;5;1;0;0;0;0;1;0;0;1;2;20;1;0;18;0;18;7;0;0;1;5;29;3;22;2;1;0;0;1;
com.google.gdata.model.MetadataCreatorImpl;33;0;8;0;0;0;0;0;0;0;8;51;9;6;16;0;5;0;0;0;0;2;7;0;0;0;3;0;0;1;
com.google.gdata.client.DocumentQuery;1;0;0;0;0;0;0;0;0;0;0;7;8;0;7;0;7;0;0;0;2;1;1;1;0;0;2;0;0;0;
com.google.gdata.model.gd.ExtendedProperty;41;0;6;0;0;0;0;0;0;0;6;34;6;0;18;1;15;2;0;1;3;0;5;1;2;0;7;0;0;1;
com.google.gdata.util.common.io.Characters;12;8;5;0;0;0;4;0;0;0;9;71;1;0;24;3;21;19;4;0;1;1;25;12;14;0;16;1;3;3;
com.google.gdata.wireformats.output.CharacterGenerator;4;0;2;0;0;0;0;0;0;0;2;8;0;0;5;0;2;1;0;0;0;0;10;3;0;0;5;0;0;1;
com.google.gdata.data.geo.impl.PointDataImpl;33;0;10;0;1;0;0;0;0;0;11;33;1;0;11;1;9;4;0;0;0;0;13;3;1;0;7;0;4;3;
com.google.gdata.data.OtherContent;26;2;18;0;0;0;0;4;1;2;24;89;8;0;19;0;18;0;0;1;7;0;11;3;0;1;13;3;5;5;
com.google.gdata.model.ElementTransform;45;0;17;0;7;0;0;0;0;0;24;100;10;0;19;5;0;4;0;0;0;0;19;2;10;0;7;0;5;3;
com.google.gdata.data.Link;22;1;30;0;0;0;0;0;0;1;31;94;10;0;30;0;29;0;0;1;19;1;12;3;1;0;11;3;3;8;
com.google.gdata.model.atompub.Collection;52;0;11;0;6;0;0;0;0;0;17;70;4;0;24;0;22;1;0;0;6;0;11;0;3;0;20;0;4;4;
com.google.gdata.util.common.base.Charsets;0;0;0;0;0;0;0;0;0;0;0;0;6;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
com.google.gdata.util.LoggableOutputStream;2;0;0;0;0;0;0;0;0;0;0;9;2;0;4;0;4;0;0;0;0;1;2;2;0;0;5;0;0;0;
com.google.gdata.model.ForwardingElementMetadata;39;0;0;0;0;0;0;0;0;0;0;32;0;0;33;0;32;0;0;0;1;0;15;1;6;0;4;0;0;0;
com.google.gdata.model.TransformKey;20;0;23;0;0;0;0;0;0;0;23;72;3;0;15;1;4;5;0;0;0;0;17;1;10;0;1;0;3;2;
com.google.gdata.data.dublincore.Description;0;0;0;0;0;0;0;0;0;0;0;6;1;0;4;0;4;1;0;0;1;2;0;0;0;0;2;0;0;0;
com.google.gdata.util.common.base.UnicodeEscaper;3;0;28;1;0;0;3;0;0;0;32;87;4;0;12;2;5;2;2;0;2;12;7;7;0;2;2;7;6;4;
com.google.gdata.data.introspection.ServiceDocument;44;0;3;0;2;0;0;0;0;0;5;25;2;0;11;0;10;0;0;1;5;0;12;4;0;0;21;1;1;2;
com.google.gdata.model.gd.Organization;123;0;1;0;0;0;0;0;0;0;1;52;7;0;34;1;31;2;0;1;2;0;11;1;2;0;7;0;0;1;
com.google.gdata.data.geo.impl.GmlEnvelope;23;0;7;0;0;0;0;0;0;0;7;33;1;0;12;0;11;2;0;0;0;1;11;4;0;0;6;2;2;2;
com.google.gdata.model.gd.AttendeeType;41;0;4;0;0;0;0;0;0;0;4;20;5;0;12;1;9;2;0;1;1;0;5;1;2;0;7;0;0;1;
com.google.gdata.model.gd.StructuredPostalAddress;64;0;1;0;0;0;0;0;0;0;1;89;18;0;59;3;54;4;0;3;4;0;16;1;2;0;7;0;0;1;
com.google.gdata.data.dublincore.Subject;0;0;0;0;0;0;0;0;0;0;0;6;1;0;4;0;4;1;0;0;1;2;0;0;0;0;2;0;0;0;
com.google.gdata.data.AbstractExtension;25;1;6;0;1;0;0;0;0;1;8;37;4;0;19;0;8;2;0;1;5;1;18;7;2;0;9;5;1;2;
com.google.gdata.wireformats.input.AtomServiceDataParser;4;0;0;0;0;0;0;0;0;0;0;5;0;0;3;0;2;0;0;0;0;0;6;3;2;0;7;1;0;0;
com.google.gdata.model.transforms.atom.AtomRssTransforms;46;0;21;0;0;0;0;0;0;0;21;112;13;0;32;12;19;12;8;0;2;1;71;2;19;0;37;0;2;5;
com.google.gdata.util.common.base.Joiner;7;2;4;0;0;0;4;3;1;2;13;74;3;0;30;4;24;2;3;1;9;1;35;28;7;4;8;6;4;2;
com.google.gdata.model.CompositeElementVisitor;21;1;8;0;5;0;0;0;0;1;14;30;3;0;6;0;6;0;0;0;0;0;9;0;2;0;4;1;5;3;
com.google.gdata.util.common.net.UriParameterMap;7;1;2;1;1;0;0;0;0;1;5;37;3;0;18;1;15;3;1;0;8;0;11;10;2;0;15;1;1;2;
com.google.gdata.data.BaseEntry;79;1;74;1;12;0;0;0;0;1;88;302;25;0;84;2;78;2;0;7;26;1;44;9;3;0;30;20;7;13;
com.google.gdata.model.atom.OutOfLineContent;42;2;2;0;0;0;0;0;0;2;4;27;4;0;15;0;14;1;0;0;3;1;5;1;1;0;12;2;0;1;
com.google.gdata.data.geo.impl.GeoRssWhere;23;0;8;0;0;0;0;0;0;0;8;45;1;0;20;0;20;2;0;0;0;1;17;8;0;0;8;0;4;2;
com.google.gdata.model.gd.EventFeed;113;0;1;0;0;0;0;0;0;0;1;13;3;0;7;0;5;1;0;0;0;0;5;0;2;0;8;0;0;1;
com.google.gdata.model.gd.PostCode;41;0;4;0;0;0;0;0;0;0;4;20;1;0;11;0;9;1;0;0;2;0;5;1;2;0;6;0;0;1;
com.google.gdata.model.gd.Agent;41;0;4;0;0;0;0;0;0;0;4;20;1;0;11;0;9;1;0;0;2;0;5;1;2;0;6;0;0;1;
com.google.gdata.util.httputil.ParamMap;1;0;1;0;1;0;0;0;0;0;2;10;1;0;5;0;5;0;0;0;5;0;1;1;0;1;4;0;0;1;
com.google.gdata.data.AttributeHelper;4;6;27;1;3;0;0;0;0;6;37;108;4;0;20;0;19;0;0;1;16;21;8;4;4;0;7;11;9;3;
com.google.gdata.util.common.util.Base64DecoderException;0;0;0;0;0;0;0;0;0;0;0;2;1;0;2;0;2;0;0;0;1;0;0;0;0;0;1;0;0;0;
com.google.gdata.util.parser.Action;4;0;1;0;0;0;0;0;0;0;1;5;2;0;2;0;2;0;0;0;0;2;4;1;2;1;0;0;0;1;
com.google.gdata.wireformats.input.InputPropertiesBuilder;3;0;0;0;0;0;0;0;0;0;0;9;2;0;6;1;5;0;0;1;0;0;3;1;1;0;6;0;0;0;
com.google.gdata.util.common.xml.parsing.SecureJDKXercesDOMFactory;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;1;0;0;0;0;0;0;0;0;2;0;0;0;
com.google.gdata.data.PubControl;21;0;6;0;0;0;0;0;0;0;6;20;2;0;7;0;7;0;0;2;2;0;5;2;0;0;8;2;2;2;
com.google.gdata.model.gd.FamilyName;41;0;5;0;0;0;0;0;0;0;5;27;2;0;14;0;12;1;0;0;3;0;5;1;2;0;7;0;0;1;
com.google.gdata.model.gd.EventEntry;147;0;1;0;0;0;0;0;0;0;1;75;3;0;49;0;47;1;0;0;0;0;21;0;2;0;9;0;0;1;
com.google.gdata.model.PathException;1;0;0;0;0;0;0;0;0;0;0;3;0;0;3;0;3;0;0;0;2;0;2;2;0;0;0;0;0;0;
com.google.gdata.model.AttributeMetadataRegistry;32;0;3;0;2;0;0;3;1;0;8;23;3;0;5;2;0;0;0;0;0;0;11;1;6;0;8;0;2;2;
com.google.gdata.model.MetadataValueTransform;22;1;7;0;1;0;0;0;0;1;9;19;1;0;3;0;3;0;0;0;0;0;6;1;3;0;5;1;2;4;
com.google.gdata.model.atompub.Accept;41;0;4;0;0;0;0;0;0;0;4;20;1;0;11;0;9;1;0;0;2;0;5;1;2;0;6;0;0;1;
com.google.gdata.util.httputil.FastURLEncoder;2;4;6;7;0;0;0;0;0;5;18;74;4;0;11;1;8;10;0;0;11;4;6;6;0;0;8;5;2;3;
com.google.gdata.model.gd.MessageFeed;113;0;1;0;0;0;0;0;0;0;1;13;3;0;7;0;5;1;0;0;0;0;5;0;2;0;8;0;0;1;
com.google.gdata.wireformats.ParserUtils;2;0;1;0;0;0;0;0;0;0;1;3;0;0;2;1;1;1;0;0;0;0;2;2;0;0;6;0;0;1;
com.google.gdata.util.ServiceForbiddenException;3;0;0;0;0;0;0;0;0;0;0;13;0;0;7;1;6;0;0;0;2;0;6;4;0;0;2;0;0;0;
com.google.gdata.model.batch.BatchInterrupted;25;0;9;0;0;0;0;0;0;0;9;69;7;0;29;1;28;2;0;0;3;6;9;7;0;0;10;1;0;1;
com.google.gdata.util.VersionRegistry;5;1;11;0;1;0;0;0;0;1;13;42;3;0;14;0;10;6;0;0;0;1;9;6;6;0;6;3;2;2;
com.google.gdata.util.io.base.UnicodeReader;2;0;8;0;0;0;0;0;0;0;8;30;3;0;5;0;5;0;0;0;1;2;2;2;0;1;5;0;2;5;
com.google.gdata.model.AttributeMetadataRegistryBuilder;30;0;2;0;1;0;0;0;0;0;3;16;2;1;5;0;0;0;0;0;0;0;6;0;2;0;5;0;1;2;
com.google.gdata.model.atom.Content;40;0;5;0;0;0;0;0;0;0;5;22;5;0;9;0;7;1;0;0;1;0;6;0;3;0;12;0;1;2;
com.google.gdata.model.atompub.Categories;44;0;1;0;0;0;0;0;0;0;1;28;4;0;19;0;17;1;0;0;2;0;7;0;2;0;12;0;0;1;
com.google.gdata.model.batch.BatchStatus;29;0;7;0;0;0;0;0;0;0;7;49;4;0;20;0;20;3;0;0;2;0;5;2;0;0;11;0;0;1;
com.google.gdata.util.common.io.LineBuffer;1;0;5;1;0;0;0;2;1;0;8;26;2;0;4;1;0;0;0;0;2;3;1;1;0;1;2;0;2;3;
com.google.gdata.util.common.xml.XmlNamespace;1;0;3;0;0;0;0;0;0;0;3;14;2;0;6;0;6;0;0;0;3;0;1;1;0;0;1;0;0;1;
com.google.gdata.wireformats.XmlWireFormat;6;0;0;0;0;0;0;0;0;0;0;4;0;0;4;0;4;0;0;0;0;1;8;4;0;0;6;0;0;0;
com.google.gdata.model.ElementCreatorImpl;40;0;18;0;7;0;0;0;0;0;25;157;19;14;54;8;25;0;0;2;1;3;41;3;20;0;18;2;1;3;
com.google.gdata.util.common.util.Base64;1;0;15;2;0;0;1;4;1;0;22;89;10;0;14;3;11;13;0;0;2;18;18;18;0;18;0;5;6;7;
com.google.gdata.util.common.io.AppendableWriter;2;0;3;0;0;0;0;0;0;0;3;26;2;0;11;1;9;0;0;0;2;9;3;3;0;0;4;1;0;1;
com.google.gdata.model.gd.PhoneNumber;42;0;7;0;0;0;0;0;0;0;7;42;25;0;22;1;19;2;0;1;4;0;6;2;2;0;7;0;0;1;
com.google.gdata.data.geo.impl.BoxDataImpl;33;0;9;0;1;0;0;0;0;0;10;30;1;0;10;0;9;4;0;0;0;0;10;0;0;0;7;0;4;3;
com.google.gdata.data.geo.GeoLat;1;1;4;0;0;0;0;0;0;1;5;20;5;0;5;0;5;0;0;0;1;0;2;2;0;0;4;2;2;2;
