ClassId;Dependencies;tryStatement;ifStatement;forStatement;enhancedForStatement/* foreach */;doStatement;whileStatement;switchCase;switchStatement;catchClause;totalBranches;numOfStatements;FieldDeclaration;synchronizedStatement;methodDeclaration;privateMethod;publicMethod;staticMethod;anonymousClassDeclaration;nbMemberClasses;nbStringParams;nbPrimitiveParams;nbOtherTypesParams;nbOtherTypesParamsLibrary;parameterizedTypeParam;arrayTypeParam;javaImports;trowStatement;NestedBlocks;MaxDepth
;178;7;57;0;15;0;6;0;0;9;87;348;14;0;105;11;90;3;0;2;32;3;24;14;0;0;0;13;14;5;
org.hibernate.internal.util.collections.ConcurrentReferenceHashMap;12;8;69;30;1;1;12;0;0;0;113;422;46;0;108;6;69;4;0;15;0;32;88;41;15;1;21;5;20;5;
org.hibernate.metamodel.relational.Tuple;3;0;1;0;1;0;0;0;0;0;2;12;3;0;8;0;8;0;0;0;1;0;3;0;0;0;2;1;0;1;
org.hibernate.internal.util.MarkerObject;0;0;0;0;0;0;0;0;0;0;0;2;1;0;2;0;2;0;0;0;1;0;0;0;0;0;1;0;0;0;
org.hibernate.type.LongType;21;0;0;0;0;0;0;0;0;0;0;10;2;0;10;0;10;0;0;0;1;0;5;2;0;0;6;0;0;0;
org.hibernate.mapping.PersistentClass;64;6;26;4;0;0;14;0;0;6;50;226;45;0;143;3;131;0;0;0;20;11;33;11;2;0;19;10;10;5;
org.hibernate.type.descriptor.sql.NCharTypeDescriptor;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;
org.hibernate.type.descriptor.java.BigDecimalTypeDescriptor;4;0;13;0;0;0;0;0;0;0;13;33;1;0;7;0;7;0;0;0;1;0;9;6;1;0;3;2;0;1;
org.hibernate.service.jmx.internal.DisabledJmxServiceImpl;4;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;2;0;0;0;0;0;4;3;0;0;12;0;0;0;
org.hibernate.cfg.beanvalidation.IntegrationException;1;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;2;0;1;1;0;0;1;0;0;0;
org.hibernate.dialect.unique.DB2UniqueDelegate;33;0;6;0;0;0;2;0;0;0;8;21;0;0;7;2;5;0;0;0;4;0;7;0;0;0;5;0;2;2;
org.hibernate.service.jta.platform.internal.JOnASJtaPlatform;0;1;0;0;0;0;0;0;0;1;1;4;2;0;2;0;0;0;0;0;0;0;0;0;0;0;4;1;0;1;
org.hibernate.sql.ordering.antlr.NodeSupport;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;
org.hibernate.action.internal.EntityVerifyVersionProcess;13;0;1;0;0;0;0;0;0;0;1;4;2;0;2;0;2;0;0;0;0;0;3;1;0;0;6;1;0;1;
org.hibernate.criterion.NullExpression;2;0;1;0;0;0;0;0;0;0;1;6;2;0;4;0;3;0;0;0;1;0;4;0;0;0;4;0;0;1;
org.hibernate.transform.DistinctResultTransformer;2;0;1;1;0;0;0;0;0;0;2;10;3;0;6;3;3;0;0;1;0;0;3;3;0;0;6;0;1;2;
org.hibernate.mapping.PrimaryKey;20;0;2;0;0;0;2;0;0;0;4;11;0;0;3;0;3;0;0;0;3;0;2;0;0;0;2;0;2;2;
org.hibernate.engine.internal.SessionEventListenerManagerImpl;1;0;23;0;22;0;0;0;0;0;45;91;1;0;23;0;23;0;0;0;0;7;1;0;0;0;5;0;0;1;
org.hibernate.metamodel.source.annotations.xml.mocker.AbstractAttributesBuilder;18;0;1;0;10;0;0;0;0;0;11;25;3;0;13;0;0;0;0;0;0;0;3;1;0;0;13;0;0;1;
org.hibernate.hql.internal.ast.tree.ParameterNode;3;0;1;1;0;0;0;0;0;0;2;14;1;0;6;0;6;0;0;0;0;0;3;0;0;0;4;0;1;2;
org.hibernate.engine.jdbc.NonContextualLobCreator;3;0;0;0;0;0;0;0;0;0;0;6;1;0;7;1;6;0;0;0;2;3;4;4;0;1;5;0;0;0;
org.hibernate.WrongClassException;1;0;0;0;0;0;0;0;0;0;0;6;2;0;4;0;4;0;0;0;2;0;1;1;0;0;1;0;0;0;
org.hibernate.sql.Delete;2;0;9;3;0;0;1;0;0;0;13;50;5;0;11;0;11;0;0;0;7;0;7;7;0;7;3;0;4;2;
org.hibernate.metamodel.source.hbm.ColumnSourceImpl;1;0;1;0;0;0;0;0;0;0;1;22;5;0;16;0;14;0;0;0;2;5;2;2;0;0;4;0;0;1;
org.hibernate.engine.spi.EntityUniqueKey;7;0;1;0;0;0;0;0;0;0;1;27;6;0;12;2;10;1;0;0;2;0;10;5;0;0;7;1;0;1;
org.hibernate.dialect.InterbaseDialect;0;0;0;0;0;0;0;0;0;0;0;36;0;0;16;0;16;0;0;0;6;1;0;0;0;0;5;0;0;0;
org.hibernate.metamodel.source.annotations.xml.filter.NameAnnotationFilter;3;0;0;0;0;0;0;0;0;0;0;2;1;0;2;0;0;0;0;0;0;0;3;3;1;0;7;0;0;0;
org.hibernate.metamodel.binding.HibernateTypeDescriptor;2;0;0;0;0;0;0;0;0;0;0;10;5;0;10;0;10;0;0;0;2;1;2;1;1;0;3;0;0;0;
org.hibernate.event.internal.DefaultPreLoadEventListener;6;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;3;0;0;0;
org.hibernate.bytecode.internal.javassist.BulkAccessorFactory;6;2;21;4;0;0;0;0;0;2;27;132;14;0;12;10;0;2;0;0;1;1;23;23;0;13;14;5;3;4;
org.hibernate.metamodel.source.annotations.ReflectionHelper;1;0;6;0;0;0;0;0;0;0;6;13;0;0;3;1;2;2;0;0;0;0;2;2;0;0;5;0;1;4;
org.hibernate.PersistentObjectException;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;
org.hibernate.internal.StaticFilterAliasGenerator;0;0;0;0;0;0;0;0;0;0;0;2;1;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;
org.hibernate.action.internal.CollectionRecreateAction;4;0;3;0;2;0;0;0;0;0;5;16;0;0;4;2;2;0;0;0;0;0;4;1;0;0;12;0;0;1;
org.hibernate.metamodel.source.annotations.xml.mocker.PersistenceMetadataMocker;21;0;4;0;0;0;0;0;0;0;4;28;3;0;8;0;0;0;0;1;0;0;14;11;0;2;9;0;0;1;
org.hibernate.hql.internal.classic.ClauseParser;49;0;17;0;0;0;1;0;0;0;18;55;5;0;4;1;3;0;0;0;1;0;4;0;0;0;4;3;4;9;
org.hibernate.metamodel.source.hbm.TimestampAttributeSourceImpl;2;0;1;0;0;0;0;0;0;0;1;30;5;0;26;0;25;0;3;0;0;0;2;1;0;0;12;1;0;1;
org.hibernate.hql.internal.ast.InvalidPathException;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;
org.hibernate.type.descriptor.sql.TimeTypeDescriptor;5;0;0;0;0;0;0;0;0;0;0;6;1;0;6;0;4;0;2;0;1;1;7;2;2;0;13;0;0;0;
org.hibernate.dialect.DerbyTenSixDialect;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;
org.hibernate.cfg.beanvalidation.DuplicationStrategyImpl;1;0;0;0;0;0;0;0;0;0;0;2;1;0;2;0;2;0;0;0;0;0;2;2;0;0;1;0;0;0;
org.hibernate.exception.internal.SQLStateConversionDelegate;2;0;9;0;0;0;0;0;0;0;9;26;4;0;6;4;2;4;0;0;2;0;2;1;0;0;16;1;1;6;
org.hibernate.engine.internal.Nullability;6;0;13;2;0;0;1;0;0;0;16;29;2;0;5;3;2;1;0;0;2;1;7;3;0;1;11;2;3;6;
org.hibernate.hql.internal.CollectionProperties;0;0;1;0;0;0;0;0;0;0;1;14;2;0;4;1;3;3;0;0;3;0;0;0;0;0;4;0;0;1;
org.hibernate.cfg.annotations.SetBinder;65;0;1;0;0;0;0;0;0;0;1;4;1;0;4;0;3;0;0;0;0;1;2;0;0;0;5;0;0;1;
org.hibernate.hql.internal.ast.tree.UpdateStatement;0;0;0;0;0;0;0;0;0;0;0;5;1;0;5;0;3;0;0;0;0;0;0;0;0;0;6;0;0;0;
org.hibernate.jmx.SessionFactoryStub;4;1;3;0;0;0;0;0;0;1;4;44;6;0;32;2;29;0;0;0;9;0;8;7;0;0;31;2;1;2;
org.hibernate.cfg.PropertyInferredData;3;0;7;0;0;0;0;0;0;0;7;33;4;0;10;0;10;0;0;0;1;0;3;3;0;0;6;1;1;2;
org.hibernate.engine.spi.TypedValue;3;0;1;0;0;0;0;0;0;0;1;11;3;0;7;0;7;0;0;0;0;0;6;3;0;0;3;0;0;1;
org.hibernate.internal.util.collections.IdentitySet;3;0;3;0;0;0;3;0;0;0;6;24;2;0;15;0;15;0;0;0;0;1;8;8;0;1;4;1;3;2;
org.hibernate.hql.spi.TableBasedUpdateHandlerImpl;60;5;8;4;2;0;0;0;0;2;16;56;6;0;7;0;5;0;0;0;2;2;10;2;0;0;16;2;2;5;
org.hibernate.type.CalendarType;2;0;0;0;0;0;0;0;0;0;0;6;1;0;6;0;6;0;0;0;0;0;3;1;0;0;6;0;0;0;
org.hibernate.loader.criteria.EntityCriteriaInfoProvider;1;0;0;0;0;0;0;0;0;0;0;5;1;0;5;0;4;0;0;0;1;0;1;0;0;0;4;0;0;0;
org.hibernate.engine.spi.RowSelection;1;0;0;0;0;0;0;0;0;0;0;9;4;0;9;0;9;0;0;0;0;0;4;4;0;0;0;0;0;0;
org.hibernate.event.internal.OnLockVisitor;17;0;5;0;0;0;0;0;0;0;5;12;0;0;2;0;1;0;0;0;0;0;5;3;0;0;7;4;1;5;
org.hibernate.cfg.CollectionPropertyHolder;69;0;0;0;0;0;0;0;0;0;0;15;1;0;13;0;13;0;0;0;1;1;11;6;0;1;10;5;0;0;
org.hibernate.internal.jaxb.Origin;1;0;0;0;0;0;0;0;0;0;0;4;2;0;3;0;3;0;0;0;1;0;1;0;0;0;1;0;0;0;
org.hibernate.tool.hbm2ddl.ImportScriptException;1;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;2;0;1;1;0;0;1;0;0;0;
org.hibernate.metamodel.source.annotations.entity.EntityBindingContext;12;0;0;0;0;0;0;0;0;0;0;17;2;0;16;0;16;0;0;0;6;0;4;2;1;0;14;0;0;0;
org.hibernate.engine.internal.ForeignKeys;8;0;28;4;0;0;0;0;0;0;32;75;4;0;10;4;6;5;0;1;6;5;23;13;0;3;13;1;4;6;
org.hibernate.type.TextType;0;0;0;0;0;0;0;0;0;0;0;2;1;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;
org.hibernate.metamodel.binding.BagBinding;3;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;3;0;0;0;12;0;0;0;
org.hibernate.hql.internal.classic.SelectParser;49;2;31;1;0;0;0;0;0;2;34;112;11;0;7;1;6;0;0;0;4;0;9;1;0;0;10;9;2;10;
org.hibernate.hql.internal.ast.tree.HqlSqlWalkerNode;1;0;0;0;0;0;0;0;0;0;0;5;1;0;5;0;5;0;0;0;0;0;1;1;0;0;6;0;0;0;
org.hibernate.hql.internal.ast.util.PathHelper;1;0;2;1;0;0;0;0;0;0;3;9;1;0;3;1;2;2;0;0;2;0;1;1;0;0;6;0;1;2;
org.hibernate.metamodel.source.annotations.attribute.SingularAttributeSourceImpl;18;0;0;0;0;0;0;0;0;0;0;20;2;0;18;0;18;0;0;0;0;0;3;0;0;0;9;0;0;0;
org.hibernate.type.descriptor.java.ArrayMutabilityPlan;1;0;1;0;0;0;0;0;0;0;1;4;1;0;1;0;1;0;0;0;0;0;1;0;0;0;1;1;0;1;
org.hibernate.stat.internal.SessionStatisticsImpl;1;0;0;0;0;0;0;0;0;0;0;6;1;0;6;0;6;0;0;0;0;0;1;0;0;0;4;0;0;0;
org.hibernate.dialect.MimerSQLDialect;0;0;0;0;0;0;0;0;0;0;0;94;2;0;14;0;14;0;0;0;3;0;0;0;0;0;4;0;0;0;
org.hibernate.action.internal.CollectionUpdateAction;4;0;10;0;2;0;0;0;0;0;12;31;1;0;4;2;2;0;0;0;0;1;4;1;0;0;13;2;1;4;
org.hibernate.event.service.internal.EventListenerGroupImpl;4;0;7;0;3;0;1;3;1;0;14;45;3;0;17;4;13;0;1;0;0;0;12;2;1;0;10;2;1;4;
org.hibernate.tool.hbm2ddl.SchemaValidator;126;5;7;1;0;0;0;0;0;4;12;54;4;0;7;2;5;3;0;0;0;2;7;3;0;1;18;2;1;6;
org.hibernate.dialect.function.PositionSubstringFunction;4;0;4;0;0;0;0;0;0;0;4;15;0;0;4;0;4;0;0;0;0;0;5;1;0;0;6;0;0;1;
org.hibernate.action.internal.EntityDeleteAction;5;0;10;0;3;0;0;0;0;0;13;41;5;0;7;3;3;0;0;0;0;2;7;4;0;1;15;1;0;1;
org.hibernate.service.jdbc.dialect.internal.AbstractDialectResolver;1;1;1;0;0;0;0;0;0;2;3;8;1;0;2;0;1;0;0;0;0;0;2;2;0;0;13;1;1;2;
org.hibernate.dialect.function.SQLFunctionTemplate;4;0;0;0;0;0;0;0;0;0;0;9;3;0;7;0;7;0;0;0;2;1;7;1;0;0;5;0;0;0;
org.hibernate.stat.internal.ConcurrentStatisticsImpl;1;0;25;2;0;0;0;0;0;0;27;240;46;0;86;0;86;0;0;0;30;5;1;0;0;0;15;0;5;2;
org.hibernate.sql.MckoiCaseFragment;0;0;1;0;0;0;1;0;0;0;2;8;0;0;1;0;1;0;0;0;0;0;0;0;0;0;3;0;0;1;
org.hibernate.id.SequenceHiLoGenerator;22;0;2;0;0;0;1;0;0;0;3;11;3;0;4;0;3;0;1;0;0;0;5;2;0;0;9;0;1;2;
org.hibernate.engine.query.spi.ParamLocationRecognizer;0;0;1;0;0;0;0;0;0;0;1;15;4;0;13;2;11;1;0;1;4;8;0;0;0;0;5;0;0;1;
org.hibernate.transform.BasicTransformerAdapter;3;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;3;3;0;2;1;0;0;0;
org.hibernate.type.PostgresUUIDType;5;0;0;0;0;0;0;0;0;0;0;8;2;0;8;0;6;0;2;1;1;1;7;2;2;0;13;0;0;0;
org.hibernate.sql.OracleJoinFragment;2;0;5;3;0;0;0;0;0;0;8;39;3;0;12;1;11;0;0;0;15;0;9;7;0;7;2;2;3;2;
org.hibernate.metamodel.source.internal.JaxbHelper;13;9;11;0;0;0;1;0;0;9;21;81;14;0;16;9;7;0;0;1;4;0;8;4;0;0;32;11;1;2;
org.hibernate.loader.ColumnEntityAliases;2;0;0;0;0;0;0;0;0;0;0;4;0;0;4;0;1;0;0;0;3;1;5;1;0;0;3;0;0;0;
org.hibernate.cfg.ExtendsQueueEntry;2;0;0;0;0;0;0;0;0;0;0;8;4;0;5;0;5;0;0;0;2;0;2;1;1;0;2;0;0;0;
org.hibernate.cfg.ObjectNameNormalizer;1;0;5;0;0;0;0;0;0;0;5;15;0;0;5;0;2;0;0;0;2;0;1;0;0;0;2;0;0;1;
