ClassId;Dependencies;tryStatement;ifStatement;forStatement;enhancedForStatement/* foreach */;doStatement;whileStatement;switchCase;switchStatement;catchClause;totalBranches;numOfStatements;FieldDeclaration;synchronizedStatement;methodDeclaration;privateMethod;publicMethod;staticMethod;anonymousClassDeclaration;nbMemberClasses;nbStringParams;nbPrimitiveParams;nbOtherTypesParams;nbOtherTypesParamsLibrary;parameterizedTypeParam;arrayTypeParam;javaImports;trowStatement;NestedBlocks;MaxDepth
org.hibernate.search.reader.impl.MultiReaderFactory;2;0;2;2;0;0;0;0;0;0;4;16;1;0;3;1;2;2;0;0;0;0;2;1;0;0;6;1;0;1;
org.hibernate.search.engine.impl.DefaultTimingSource;0;0;3;0;0;0;0;0;0;0;3;12;3;0;5;1;4;1;0;1;0;0;0;0;0;0;4;1;0;1;
org.hibernate.search.query.dsl.impl.ConnectedTermContext;5;0;0;0;0;0;0;0;0;0;0;13;3;0;8;0;8;0;0;0;2;1;2;1;0;0;5;0;0;0;
org.hibernate.search.cfg.FieldBridgeDirectMapping;11;0;0;0;0;0;0;0;0;0;0;6;1;0;2;0;2;0;0;0;2;0;4;1;1;0;3;0;0;0;
org.hibernate.search.indexes.serialization.javaserialization.impl.SerializableLongField;2;0;0;0;0;0;0;0;0;0;0;3;1;0;2;0;2;0;0;0;0;1;1;0;0;0;1;0;0;0;
org.hibernate.search.metadata.impl.PropertyDescriptorImpl;2;0;3;0;0;0;0;0;0;0;3;19;3;0;7;0;7;0;0;0;1;1;2;2;1;0;5;0;0;1;
org.hibernate.search.backend.impl.BatchedQueueingProcessor;16;0;3;0;2;0;0;0;0;0;5;19;3;0;5;0;5;0;0;0;0;0;7;2;1;0;15;0;1;2;
org.hibernate.search.engine.impl.EmptyBuildContext;4;0;0;0;0;0;0;0;0;0;0;9;3;0;8;0;8;0;0;0;0;0;4;2;2;0;8;3;0;0;
org.hibernate.search.backend.impl.jgroups.ClassloaderMessageListener;5;3;0;0;0;0;0;0;0;0;0;14;2;0;4;0;3;0;0;0;0;0;5;5;0;0;4;0;0;0;
org.hibernate.search.indexes.serialization.spi.SerializerService;2;1;2;0;0;0;0;0;0;1;3;9;3;0;3;0;3;0;0;0;0;0;2;1;0;0;12;2;1;2;
org.hibernate.search.indexes.serialization.spi.LuceneFieldContext;1;0;1;0;0;0;0;12;2;0;13;40;1;0;14;0;14;0;0;0;0;0;1;1;0;0;8;3;0;1;
org.hibernate.search.bridge.builtin.impl.BuiltinNumericArrayBridge;4;0;2;0;0;0;0;0;0;0;2;7;0;0;4;1;3;0;1;0;2;0;6;3;0;0;3;0;0;1;
org.hibernate.search.backend.BackendFactory;12;0;6;0;0;0;0;0;0;0;6;20;0;0;7;1;6;6;0;0;2;0;10;6;0;0;17;0;1;6;
org.hibernate.search.backend.impl.jgroups.MasterSelectorServiceProvider;2;0;0;0;0;0;0;0;0;0;0;1;1;0;3;0;3;0;0;0;0;0;2;1;0;0;3;0;0;0;
