ClassId;Dependencies;tryStatement;ifStatement;forStatement;enhancedForStatement/* foreach */;doStatement;whileStatement;switchCase;switchStatement;catchClause;totalBranches;numOfStatements;FieldDeclaration;synchronizedStatement;methodDeclaration;privateMethod;publicMethod;staticMethod;anonymousClassDeclaration;nbMemberClasses;nbStringParams;nbPrimitiveParams;nbOtherTypesParams;nbOtherTypesParamsLibrary;parameterizedTypeParam;arrayTypeParam;javaImports;trowStatement;NestedBlocks;MaxDepth
;6;0;3;0;0;0;0;0;0;0;3;20;4;0;7;0;7;0;1;1;6;3;3;2;0;2;0;0;0;1;
org.jacoco.core.analysis.NodeComparator;5;0;0;0;0;0;0;0;0;0;0;7;4;0;5;0;4;0;1;0;0;0;8;3;3;0;10;0;0;0;
org.jacoco.core.internal.Pack200Streams;3;0;0;0;0;0;0;0;0;0;0;5;0;0;5;1;3;2;0;1;0;0;4;4;0;1;9;0;0;0;
org.jacoco.core.internal.analysis.SourceFileCoverageImpl;0;0;0;0;0;0;0;0;0;0;0;3;1;0;2;0;2;0;0;0;2;0;0;0;0;0;1;0;0;0;
org.jacoco.core.runtime.AbstractRuntime;8;0;1;0;0;0;0;0;0;0;1;5;2;0;3;0;3;1;0;0;0;0;2;1;1;0;3;0;0;1;
org.jacoco.core.internal.flow.LabelInfo;3;0;4;0;1;0;0;0;0;0;5;25;8;0;17;3;14;16;0;0;0;1;18;17;0;1;1;0;0;1;
org.jacoco.core.internal.flow.ClassProbesVisitor;2;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;4;0;0;0;3;2;2;2;0;1;2;0;0;0;
org.jacoco.core.runtime.CommandLineSupport;2;0;11;0;3;0;0;3;1;0;17;48;6;0;5;2;0;4;0;0;2;0;3;3;2;0;2;0;3;3;
org.jacoco.core.internal.flow.MethodProbesVisitor;4;0;0;0;0;0;0;0;0;0;0;2;0;0;7;0;7;0;0;0;0;7;7;7;0;3;3;0;0;0;
org.jacoco.core.data.ExecutionDataReader;3;1;5;0;0;1;0;4;1;1;11;33;4;0;8;3;4;0;0;0;0;1;3;1;0;0;5;6;1;2;
org.jacoco.core.internal.analysis.SourceNodeImpl;3;0;11;1;0;0;0;0;0;0;12;41;2;0;8;1;7;0;0;0;1;5;6;0;0;0;4;0;3;4;
org.jacoco.core.internal.flow.LabelFlowAnalyzer;6;0;5;1;1;0;0;9;1;0;16;63;2;0;19;2;17;2;0;0;11;14;17;17;0;3;6;2;1;2;
org.jacoco.core.data.ExecutionDataWriter;4;3;0;0;0;0;0;0;0;3;3;22;6;0;6;1;5;1;0;0;0;0;3;1;0;0;4;3;0;1;
org.jacoco.core.internal.analysis.ClassAnalyzer;4;0;2;0;0;0;0;0;0;0;2;15;4;0;8;0;8;0;1;0;11;6;5;4;0;3;6;0;0;1;
org.jacoco.core.internal.flow.MethodProbesAdapter;6;0;6;0;1;0;0;8;1;0;15;39;2;0;7;1;6;0;0;0;0;4;11;9;0;3;3;0;1;2;
org.jacoco.core.internal.flow.ClassProbesAdapter;0;null
org.jacoco.core.internal.instr.DuplicateFrameEliminator;7;0;1;0;0;0;0;0;0;0;1;31;1;0;15;0;15;0;0;0;10;17;12;12;0;4;4;0;0;1;
org.jacoco.core.runtime.RemoteControlReader;2;0;1;0;0;0;0;3;1;0;4;13;1;0;4;1;2;0;0;0;0;1;2;1;0;0;3;1;0;1;
org.jacoco.core.instr.Instrumenter;7;3;0;0;0;0;2;5;1;3;10;40;1;0;12;6;6;0;0;0;8;1;18;17;0;1;18;3;0;1;
org.jacoco.core.internal.analysis.BundleCoverageImpl;5;0;3;0;3;0;0;0;0;0;6;22;1;0;5;2;3;2;0;0;3;0;7;6;6;0;12;0;1;2;
org.jacoco.core.data.SessionInfoStore;2;0;1;0;2;0;0;0;0;0;3;12;1;0;5;0;5;0;0;0;1;0;2;0;0;0;5;0;0;1;
org.jacoco.core.internal.data.CompactDataOutput;2;0;4;0;1;0;0;0;0;0;5;15;0;0;3;0;3;0;0;0;0;1;2;2;0;1;3;0;1;2;
org.jacoco.core.runtime.RemoteControlWriter;1;0;0;0;0;0;0;0;0;0;0;5;2;0;3;0;3;0;0;0;0;2;1;1;0;0;3;0;0;0;
