ClassId;Dependencies;tryStatement;ifStatement;forStatement;enhancedForStatement/* foreach */;doStatement;whileStatement;switchCase;switchStatement;catchClause;totalBranches;numOfStatements;FieldDeclaration;synchronizedStatement;methodDeclaration;privateMethod;publicMethod;staticMethod;anonymousClassDeclaration;nbMemberClasses;nbStringParams;nbPrimitiveParams;nbOtherTypesParams;nbOtherTypesParamsLibrary;parameterizedTypeParam;arrayTypeParam;javaImports;trowStatement;NestedBlocks;MaxDepth
net.sf.javaml.featureselection.scoring.SymmetricalUncertainty;1;0;3;1;1;0;0;0;0;0;5;16;2;0;3;0;3;0;0;0;0;1;1;0;0;0;9;0;2;2;
net.sf.javaml.tools.data.StreamHandler;1;2;5;2;3;0;0;0;0;2;12;36;0;0;2;0;2;2;0;0;3;2;2;2;0;0;8;0;2;4;
net.sf.javaml.filter.instance.CeilValueFilter;1;0;0;0;1;0;0;0;0;0;1;2;0;0;1;0;1;0;0;0;0;0;1;0;0;0;2;0;0;1;
net.sf.javaml.clustering.KMedoids;5;0;4;5;0;0;1;0;0;0;10;37;4;0;5;2;3;0;0;0;0;2;8;4;0;4;7;0;2;3;
net.sf.javaml.clustering.evaluation.MinMaxCut;2;0;1;5;0;0;0;0;0;0;6;17;1;0;3;0;3;0;0;0;0;2;2;1;0;1;2;0;1;5;
net.sf.javaml.filter.discretize.RecursiveMinimalEntropyPartitioning;3;0;13;3;8;0;2;0;0;0;26;82;13;0;12;7;5;0;0;0;0;15;5;1;1;0;14;1;7;5;
net.sf.javaml.distance.SpearmanRankCorrelation;1;0;1;1;0;0;0;0;0;0;2;6;1;0;1;0;1;0;0;0;0;0;2;0;0;0;1;1;0;1;
net.sf.javaml.clustering.mcl.Vectors;4;0;14;41;0;0;0;0;0;0;55;213;2;0;53;1;52;53;0;0;0;33;66;66;0;66;1;1;8;2;
net.sf.javaml.core.kdtree.KDTree;2;0;8;2;0;0;0;0;0;0;10;35;3;0;8;0;8;0;0;0;0;2;8;8;0;7;1;8;2;3;
net.sf.javaml.filter.missingvalue.RemoveMissingValue;1;0;1;0;2;0;0;0;0;0;3;5;0;0;2;0;2;0;0;0;0;0;2;0;0;0;5;0;1;2;
net.sf.javaml.classification.KNearestNeighbors;3;0;4;0;4;0;0;0;0;0;8;19;4;0;4;0;4;0;0;0;0;2;3;0;0;0;8;1;2;2;
net.sf.javaml.filter.normalize.NormalizeMidrange;2;0;4;0;2;0;0;0;0;0;6;20;4;0;5;0;5;0;0;0;0;2;3;0;0;0;10;1;1;2;
tutorials.classification.TutorialNaiveBayes;1;0;1;0;1;0;0;0;0;0;2;11;0;0;1;0;1;1;0;0;0;0;1;1;0;1;6;0;1;2;
net.sf.javaml.distance.fastdtw.dtw.PartialWindowMatrix;1;0;8;0;0;0;0;0;0;0;8;31;7;0;5;0;4;0;0;0;0;5;1;0;0;0;0;2;1;3;
net.sf.javaml.tools.weka.WekaClassifier;3;3;0;1;0;0;0;0;0;3;4;14;3;0;4;0;4;0;0;0;0;0;4;1;0;0;6;3;0;1;
net.sf.javaml.clustering.DensityBasedSpatialClustering;3;0;10;3;2;0;1;0;0;0;16;46;4;0;6;2;4;0;0;0;0;5;3;0;0;0;9;0;4;6;
net.sf.javaml.sampling.SubSampling;1;0;0;0;0;0;1;0;0;0;1;4;0;0;1;0;0;0;0;0;0;2;1;1;1;0;3;0;0;1;
net.sf.javaml.classification.evaluation.CrossValidation;3;0;5;2;4;0;0;0;0;0;11;25;1;0;4;0;4;0;0;0;0;2;5;1;0;0;7;0;1;6;
tutorials.classification.TutorialCVSameFolds;1;0;0;0;0;0;0;0;0;0;0;6;0;0;1;0;1;1;0;0;0;0;1;1;0;1;13;0;0;0;
net.sf.javaml.clustering.IterativeKMeans;3;0;1;1;0;0;0;0;0;0;2;14;5;0;4;0;4;0;0;0;0;5;5;0;0;0;4;0;1;2;
net.sf.javaml.filter.ClassRemoveFilter;2;0;1;0;1;0;0;0;0;0;2;7;1;0;5;0;5;0;0;0;0;0;4;2;0;0;3;0;1;2;
net.sf.javaml.distance.AbstractSimilarity;0;0;0;0;0;0;0;0;0;0;0;3;1;0;3;0;3;0;0;0;0;2;0;0;0;0;0;0;0;0;
net.sf.javaml.distance.LinearKernel;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
tutorials.core.TutorialSparseInstance;1;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;1;1;0;0;0;0;1;1;0;1;2;0;0;0;
net.sf.javaml.featureselection.scoring.RandomForestAttributeEvaluation;3;0;6;6;3;0;0;0;0;0;15;52;6;0;6;0;6;0;0;0;0;4;3;2;0;0;11;0;2;6;
net.sf.javaml.classification.NearestMeanClassifier;1;0;1;0;1;0;0;0;0;0;2;5;2;0;1;0;1;0;0;0;0;0;1;0;0;0;2;0;1;2;
net.sf.javaml.distance.fastdtw.timeseries.PAA;7;0;2;4;0;0;0;0;0;0;6;26;2;0;4;0;4;0;0;0;0;2;1;0;0;0;0;2;1;3;
net.sf.javaml.classification.evaluation.EvaluateDataset;2;0;4;0;4;0;0;0;0;0;8;15;0;0;1;0;1;1;0;0;0;0;2;0;0;0;5;0;1;5;
tutorials.clustering.TutorialClusterEvaluation;1;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;1;1;0;0;0;0;1;1;0;1;9;0;0;0;
net.sf.javaml.core.DefaultDataset;7;0;10;4;5;0;0;0;0;0;19;70;3;0;21;3;18;0;0;0;0;8;16;7;5;0;15;0;5;3;
net.sf.javaml.clustering.evaluation.SumOfAveragePairwiseSimilarities;1;0;0;3;0;0;0;0;0;0;3;10;1;0;2;0;2;0;0;0;0;2;1;1;0;1;3;0;1;3;
net.sf.javaml.clustering.MultiKMeans;3;0;1;1;0;0;0;0;0;0;2;12;3;0;3;0;3;0;0;0;0;3;4;0;0;0;4;0;1;2;
net.sf.javaml.distance.fastdtw.dtw.SwapFileMatrix;1;4;12;0;0;0;0;0;0;4;16;57;12;0;5;0;4;0;0;0;0;5;1;0;0;0;5;7;1;4;
tutorials.tools.TutorialStoreData;1;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;1;1;0;0;0;0;1;1;0;1;3;0;0;0;
net.sf.javaml.classification.bayes.ClassCounter;1;0;1;3;0;0;1;0;0;0;5;22;2;0;9;0;1;0;0;0;0;8;1;1;1;0;2;0;1;3;
net.sf.javaml.distance.fastdtw.dtw.DTW;9;0;22;12;0;0;0;0;0;0;34;109;0;0;11;3;8;10;0;0;0;2;23;0;0;0;3;1;6;4;
net.sf.javaml.distance.fastdtw.timeseries.TimeSeries;7;2;23;17;0;1;0;0;0;3;44;159;4;0;35;0;33;0;0;0;9;30;6;2;1;0;12;11;6;4;
net.sf.javaml.classification.MeanFeatureVotingClassifier;1;0;1;1;3;0;0;0;0;0;5;13;1;0;1;0;1;0;0;0;0;0;1;0;0;0;3;0;1;3;
net.sf.javaml.classification.bayes.ClassCounter_compact;0;0;0;2;0;0;0;0;0;0;2;11;1;0;5;0;1;0;0;0;0;4;0;0;0;0;0;0;0;1;
net.sf.javaml.featureselection.scoring.RELIEF;4;0;5;2;3;0;0;0;0;0;10;33;6;0;9;3;6;0;0;0;0;4;8;3;2;0;7;0;3;4;
net.sf.javaml.filter.discretize.TwoBinMinimalEntropyPartitioning;3;0;12;3;8;0;2;0;0;0;25;73;13;0;11;6;5;0;0;0;0;12;5;1;1;0;14;1;6;5;
net.sf.javaml.classification.bayes.Functions;4;4;22;2;0;0;10;0;0;5;39;115;0;0;16;0;0;4;0;0;3;5;15;15;8;0;17;0;8;3;
net.sf.javaml.distance.NormalizedEuclideanSimilarity;2;0;0;0;0;0;0;0;0;0;0;3;2;0;2;0;2;0;0;0;0;0;3;0;0;0;2;0;0;0;
tutorials.featureselection.TutorialFeatureRanking;1;0;0;1;0;0;0;0;0;0;1;4;0;0;1;0;1;1;0;0;0;0;1;1;0;1;4;0;0;1;
net.sf.javaml.filter.discretize.FourBinMinimalEntropyPartitioning;3;0;12;5;8;0;2;0;0;0;27;81;13;0;11;6;5;0;0;0;0;12;5;1;1;0;14;1;6;5;
net.sf.javaml.distance.ChebychevDistance;1;0;1;1;0;0;0;0;0;0;2;6;1;0;1;0;1;0;0;0;0;0;2;0;0;0;1;1;0;1;
net.sf.javaml.sampling.NormalBootstrapping;1;0;0;0;0;0;1;0;0;0;1;3;0;0;1;0;0;0;0;0;0;2;1;1;1;0;3;0;0;1;
net.sf.javaml.classification.SOM;5;0;1;2;2;0;0;0;0;0;5;18;4;0;4;1;3;0;0;0;0;5;7;0;0;0;10;0;1;2;
net.sf.javaml.core.Fold;9;0;0;1;2;0;0;0;0;0;3;53;3;0;43;0;43;0;0;1;0;13;21;13;5;2;9;20;0;1;
net.sf.javaml.clustering.KMeans;2;0;6;11;0;0;1;0;0;0;18;59;5;0;5;0;5;0;0;0;0;5;2;0;0;0;8;2;2;4;
net.sf.javaml.clustering.Cobweb;5;0;40;14;1;0;0;0;0;0;55;207;21;0;21;18;3;0;0;2;0;11;16;2;1;1;8;1;12;4;
net.sf.javaml.filter.UnsetClassFilter;2;0;0;0;0;0;0;0;0;0;0;3;0;0;2;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;
net.sf.javaml.tools.weka.WekaException;1;0;0;0;0;0;0;0;0;0;0;4;1;0;4;0;4;0;0;0;2;0;2;2;0;0;0;0;0;0;
net.sf.javaml.distance.EuclideanDistance;1;0;2;1;0;0;0;0;0;0;3;7;1;0;1;0;1;0;0;0;0;0;2;0;0;0;3;1;1;2;
net.sf.javaml.filter.AbstractFilter;2;0;0;0;1;0;0;0;0;0;1;2;0;0;3;0;3;0;0;0;0;0;3;0;0;0;2;0;0;1;
