ClassId;Dependencies;tryStatement;ifStatement;forStatement;enhancedForStatement/* foreach */;doStatement;whileStatement;switchCase;switchStatement;catchClause;totalBranches;numOfStatements;FieldDeclaration;synchronizedStatement;methodDeclaration;privateMethod;publicMethod;staticMethod;anonymousClassDeclaration;nbMemberClasses;nbStringParams;nbPrimitiveParams;nbOtherTypesParams;nbOtherTypesParamsLibrary;parameterizedTypeParam;arrayTypeParam;javaImports;trowStatement;NestedBlocks;MaxDepth
org.jclouds.logging.NullLogger;2;0;0;0;0;0;0;0;0;0;0;9;0;0;13;0;13;0;0;0;7;0;9;9;0;0;1;0;0;0;
org.jclouds.location.config.LocationModule;15;0;0;0;0;0;0;0;0;0;0;14;1;0;14;0;3;0;1;1;0;10;24;12;12;0;63;0;0;0;
org.jclouds.encryption.internal.JCECrypto;2;3;2;0;0;0;0;0;0;3;5;22;6;0;9;0;9;0;0;0;2;0;4;4;0;3;15;2;1;2;
org.jclouds.predicates.SocketOpenUnsupported;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;1;0;0;5;1;0;0;
org.jclouds.concurrent.TransformParallelException;2;0;0;0;0;0;0;0;0;0;0;6;2;0;3;0;3;0;0;0;1;0;2;2;2;0;8;0;0;0;
org.jclouds.logging.config.BindLoggersAnnotatedWithResource;7;1;2;0;1;0;1;0;0;1;5;18;3;0;6;0;4;0;0;2;0;0;8;5;3;0;18;1;1;2;
org.jclouds.concurrent.DynamicExecutors;1;0;0;0;0;0;0;0;0;0;0;3;0;0;2;1;1;1;0;0;0;3;1;1;0;0;4;0;0;0;
org.jclouds.Fallbacks;2;0;3;0;0;0;0;0;0;0;3;21;0;0;16;2;14;2;0;13;0;0;16;15;0;0;20;3;0;1;
org.jclouds.domain.LocationBuilder;4;0;0;0;0;0;0;0;0;0;0;13;6;0;7;0;7;0;0;0;2;0;4;2;2;0;8;0;0;0;
org.jclouds.io.internal.BasePayloadSlicer;6;3;16;0;0;0;1;0;0;3;20;92;9;0;28;3;10;0;0;2;2;16;25;11;0;3;21;7;3;5;
org.jclouds.concurrent.config.ScheduledExecutorServiceModule;3;0;0;0;0;0;0;0;0;0;0;3;0;0;4;1;0;1;0;0;1;2;2;1;0;0;15;0;0;0;
org.jclouds.providers.internal.BaseProviderMetadata;9;0;3;0;0;0;0;0;0;0;3;56;18;0;31;0;31;0;1;1;10;0;15;11;6;0;14;0;0;1;
org.jclouds.http.config.JavaUrlHttpCommandExecutorServiceModule;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;
org.jclouds.http.functions.config.SaxParserModule;3;1;0;0;0;0;0;0;0;1;1;11;2;0;4;0;1;0;0;1;0;0;3;2;1;0;12;1;0;1;
org.jclouds.providers.AnonymousProviderMetadata;3;0;0;0;0;0;0;0;0;0;0;9;0;0;7;0;7;2;0;1;4;0;5;1;1;0;4;0;0;0;
org.jclouds.http.config.SSLModule;3;1;2;0;0;0;0;0;0;1;3;16;3;0;7;0;5;0;2;3;3;0;4;3;0;2;18;1;1;2;
org.jclouds.io.payloads.RSAEncryptingPayload;3;1;0;0;0;0;0;0;0;3;3;8;0;0;2;0;2;0;0;0;0;0;4;2;0;0;8;0;0;1;
org.jclouds.io.payloads.InputStreamPayload;1;0;0;0;0;0;0;0;0;0;0;4;0;0;4;0;4;0;0;0;0;0;1;1;0;0;2;0;0;0;
org.jclouds.providers.config.BindProviderMetadataContextAndCredentials;4;0;0;0;0;0;0;0;0;0;0;14;2;0;3;0;1;0;3;0;0;0;4;3;2;0;20;0;0;0;
org.jclouds.crypto.Macs;2;0;0;0;0;0;0;0;0;0;0;5;0;0;3;0;3;1;1;0;0;2;2;2;0;1;14;0;0;0;
org.jclouds.collect.internal.CallerArg0ToPagedIterable;10;0;3;0;0;0;0;0;0;0;3;8;1;0;3;0;2;0;0;0;1;0;2;0;1;0;9;0;1;2;
org.jclouds.collect.PagedIterables;3;1;5;0;0;0;0;0;0;0;5;24;3;0;11;2;8;4;2;1;0;0;9;4;8;0;7;0;1;2;
org.jclouds.http.functions.ParseJson;8;2;1;0;0;0;0;0;0;1;2;14;3;0;4;0;4;0;0;0;0;0;6;4;1;0;14;1;0;1;
org.jclouds.http.HttpUtils;25;1;19;0;2;0;0;3;1;1;25;87;6;0;24;1;23;13;0;0;4;4;24;7;4;1;46;1;5;2;
org.jclouds.reflect.Types2;1;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;1;1;0;0;0;0;1;1;1;0;4;0;0;0;
org.jclouds.rest.RetryAfterException;1;0;0;0;0;0;0;3;1;0;3;14;2;0;5;1;4;1;0;0;2;4;2;2;0;0;0;0;0;1;
org.jclouds.JcloudsVersion;1;1;3;0;0;0;0;0;0;1;4;42;17;0;6;1;2;2;0;0;1;0;2;2;0;0;11;1;1;3;
org.jclouds.location.functions.ZoneToEndpoint;2;0;0;0;0;0;0;0;0;0;0;4;1;0;2;0;1;0;0;0;0;0;2;2;1;0;10;0;0;0;
org.jclouds.location.suppliers.implicit.FirstNetwork;1;1;0;0;0;0;0;0;0;1;1;4;1;0;2;0;1;0;0;0;0;0;1;1;1;0;13;1;0;1;
org.jclouds.http.functions.ParseXMLWithJAXB;8;2;1;0;0;0;0;0;0;1;2;13;3;0;4;0;4;0;0;0;0;0;6;4;2;0;13;1;0;1;
org.jclouds.concurrent.config.ExecutorServiceModule;5;0;2;0;0;0;0;0;0;0;2;19;3;0;16;5;6;1;0;1;4;3;12;9;0;0;24;0;0;1;
org.jclouds.crypto.ASN1Codec;5;2;7;3;2;0;2;2;1;2;18;76;6;0;18;12;3;14;1;0;0;9;13;13;2;4;20;2;3;2;
org.jclouds.json.internal.GsonWrapper;4;0;0;0;0;0;0;0;0;0;0;6;1;0;6;0;6;0;0;0;2;0;6;6;1;0;6;0;0;0;
org.jclouds.http.functions.ReturnTrueIf2xx;4;0;1;0;0;0;0;0;0;0;1;4;0;0;1;0;1;0;0;0;0;0;1;0;0;0;4;1;0;1;
org.jclouds.http.HttpException;1;0;0;0;0;0;0;0;0;0;0;3;1;0;3;0;3;0;0;0;2;0;2;2;0;0;0;0;0;0;
org.jclouds.logging.ConsoleLogger;2;0;0;0;0;0;0;0;0;0;0;11;0;0;13;0;13;0;0;0;7;0;9;9;0;0;1;0;0;0;
org.jclouds.domain.JsonBall;1;0;7;0;0;0;0;0;0;0;7;27;4;0;13;1;12;1;0;0;3;7;1;1;0;0;2;0;1;2;
org.jclouds.location.predicates.fromconfig.AnyOrConfiguredRegionId;3;0;1;0;0;0;0;0;0;0;1;5;1;0;3;0;2;0;0;0;1;0;1;0;0;0;12;0;0;1;
org.jclouds.http.handlers.DelegatingErrorHandler;12;0;3;0;0;0;0;0;0;0;3;12;3;0;5;0;4;0;0;0;0;0;2;0;0;0;9;0;1;3;
org.jclouds.http.internal.BaseHttpCommandExecutorService;37;1;6;1;1;0;0;0;0;1;9;39;8;0;6;0;1;0;0;0;0;0;12;0;0;0;24;1;1;3;
org.jclouds.collect.TransformingMap;5;0;3;0;0;0;0;0;0;0;3;28;3;0;18;0;18;0;2;1;0;0;10;8;3;0;7;0;0;1;
org.jclouds.date.internal.DateUtils;0;0;7;0;0;0;0;0;0;0;7;17;4;0;3;0;3;3;0;0;3;0;0;0;0;0;2;0;2;2;
org.jclouds.collect.IterableWithMarker;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;
org.jclouds.http.UriTemplates;1;0;3;0;1;0;0;3;1;0;7;20;0;0;1;0;1;1;0;0;1;0;1;1;1;0;6;0;1;2;
org.jclouds.events.config.EventBusModule;3;0;0;0;0;0;0;0;0;0;0;5;0;0;3;0;0;0;0;0;0;0;3;1;0;0;15;0;0;0;
org.jclouds.functions.ToLowerCase;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;1;0;0;0;1;0;0;0;0;0;3;0;0;0;
org.jclouds.http.internal.SignatureWire;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;5;0;0;0;
org.jclouds.http.functions.UnwrapOnlyJsonValue;5;0;0;0;0;0;0;0;0;0;0;2;1;0;2;0;1;0;0;0;0;0;2;0;1;0;6;0;0;0;
org.jclouds.location.suppliers.fromconfig.SplitConfigurationKey;2;0;1;0;0;0;0;0;0;0;1;8;4;0;3;0;3;0;0;0;2;0;1;0;0;0;10;0;0;1;
org.jclouds.http.HttpCommand;10;0;3;0;0;0;0;0;0;0;3;21;4;0;13;0;13;0;0;0;0;0;4;2;0;0;3;0;0;1;
org.jclouds.location.suppliers.implicit.GetRegionIdMatchingProviderURIOrNull;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;2;2;2;0;9;0;0;0;
