ClassId;Dependencies;tryStatement;ifStatement;forStatement;enhancedForStatement/* foreach */;doStatement;whileStatement;switchCase;switchStatement;catchClause;totalBranches;numOfStatements;FieldDeclaration;synchronizedStatement;methodDeclaration;privateMethod;publicMethod;staticMethod;anonymousClassDeclaration;nbMemberClasses;nbStringParams;nbPrimitiveParams;nbOtherTypesParams;nbOtherTypesParamsLibrary;parameterizedTypeParam;arrayTypeParam;javaImports;trowStatement;NestedBlocks;MaxDepth
jmetal.util.avl.AvlTree;4;0;34;0;0;0;5;3;1;0;42;170;2;0;28;1;27;0;0;0;0;0;26;1;17;0;1;0;9;7;
jmetal.util.offspring.SBXCrossoverOffspring;8;3;1;0;0;0;0;0;0;3;4;32;4;0;5;0;5;0;0;0;0;2;4;1;0;1;9;0;0;1;
jmetal.util.AdaptiveGrid;7;0;20;16;2;0;1;0;0;0;39;113;8;0;16;2;14;0;0;0;0;5;6;0;0;0;2;0;9;6;
jmetal.util.Ranking;7;0;5;6;0;0;4;0;0;0;15;45;4;0;3;0;3;0;0;0;0;1;1;0;0;0;7;0;4;4;
jmetal.problems.WFG.WFG;2;0;4;3;0;0;0;0;0;0;7;35;8;0;6;0;6;0;0;0;1;3;7;7;0;4;4;0;2;2;
jmetal.metaheuristics.abyss.AbYSS_main;1;0;3;0;0;0;0;0;0;0;3;45;2;0;1;0;1;1;0;0;0;0;1;1;0;1;16;0;1;2;
jmetal.encodings.variable.Int;1;1;0;0;0;0;0;0;0;1;1;24;3;0;12;0;12;0;0;0;0;8;1;0;0;0;4;0;0;1;
jmetal.metaheuristics.smsemoa.SMSEMOA_main;1;0;3;0;0;0;0;0;0;0;3;41;2;0;1;0;1;1;0;0;0;0;1;1;0;1;16;0;1;2;
jmetal.experiments.settings.GDE3_Settings;1;1;0;0;0;0;0;0;0;1;1;37;4;0;3;0;3;0;0;0;1;0;1;1;0;0;11;0;0;1;
jmetal.encodings.solutionType.IntRealSolutionType;5;0;0;2;0;0;0;0;0;0;2;10;2;0;2;0;2;0;0;0;0;2;1;0;0;0;5;0;0;1;
jmetal.metaheuristics.paes.PAES;6;0;6;0;0;1;0;0;0;0;7;32;0;0;3;0;3;0;0;0;0;0;4;0;0;0;5;0;1;4;
jmetal.experiments.studies.NSGAIIStudy;2;1;2;4;0;0;0;0;0;3;9;44;0;0;2;0;2;1;0;0;1;1;2;2;0;2;10;0;2;2;
jmetal.experiments.Settings;7;0;18;4;0;0;0;0;0;0;22;45;3;0;7;0;5;0;0;0;1;0;3;2;0;0;15;0;1;10;
jmetal.problems.EBEs;8;10;169;124;0;0;2;26;6;10;331;2599;160;0;106;0;106;0;0;0;3;132;15;12;0;12;10;0;45;13;
jmetal.metaheuristics.nsgaII.pNSGAII;6;0;5;4;2;0;2;0;0;0;13;58;1;0;2;0;2;0;0;0;0;0;2;0;0;0;8;0;1;3;
jmetal.metaheuristics.singleObjective.cmaes.Utils;2;0;15;32;0;1;1;0;0;0;49;177;0;0;5;1;4;5;0;0;0;15;2;2;0;2;0;0;7;5;
jmetal.metaheuristics.smpso.SMPSO_main;1;0;3;0;0;0;0;0;0;0;3;31;2;0;1;0;1;1;0;0;0;0;1;1;0;1;14;0;1;2;
jmetal.metaheuristics.smpso.pSMPSO;7;1;9;14;0;0;1;0;0;1;25;121;33;0;10;6;4;0;0;0;0;13;4;2;0;2;15;0;5;3;
jmetal.util.offspring.DifferentialEvolutionOffspringPolynomial;7;3;1;0;0;0;0;0;0;3;4;26;6;0;4;1;3;0;0;0;0;2;4;0;0;0;9;0;0;1;
jmetal.metaheuristics.mochc.MOCHC_main;1;1;0;0;0;0;0;0;0;1;1;27;0;0;1;0;1;1;0;0;0;0;1;1;0;1;9;0;0;1;
jmetal.metaheuristics.singleObjective.evolutionStrategy.ElitistES;5;0;0;5;0;0;1;0;0;0;6;38;2;0;2;0;2;0;0;0;0;2;1;0;0;0;4;0;1;3;
jmetal.metaheuristics.moead.MOEAD_main;1;0;3;0;0;0;0;0;0;0;3;40;2;0;1;0;1;1;0;0;0;0;1;1;0;1;15;0;1;2;
jmetal.test.experiments.settings.pSMPSO_SettingsTest;0;0;0;0;0;0;0;0;0;0;0;12;1;0;3;0;3;0;0;0;0;0;0;0;0;0;15;0;0;0;
jmetal.metaheuristics.nsgaII.pNSGAII_main;1;0;3;0;0;0;0;0;0;0;3;40;2;0;1;0;1;1;0;0;0;0;1;1;0;1;18;0;1;2;
