ClassId;Dependencies;tryStatement;ifStatement;forStatement;enhancedForStatement/* foreach */;doStatement;whileStatement;switchCase;switchStatement;catchClause;totalBranches;numOfStatements;FieldDeclaration;synchronizedStatement;methodDeclaration;privateMethod;publicMethod;staticMethod;anonymousClassDeclaration;nbMemberClasses;nbStringParams;nbPrimitiveParams;nbOtherTypesParams;nbOtherTypesParamsLibrary;parameterizedTypeParam;arrayTypeParam;javaImports;trowStatement;NestedBlocks;MaxDepth
;9;16;16;0;5;0;0;0;0;15;36;140;6;0;28;2;26;15;0;1;8;0;8;8;1;0;0;6;5;2;
org.openmrs.reporting.LogicPatientFilter;72;2;3;0;2;0;0;0;0;2;7;20;2;0;9;0;9;0;0;0;0;0;6;0;0;0;11;2;2;2;
org.openmrs.propertyeditor.DateOrDatetimeEditor;0;2;3;0;0;0;0;0;0;2;5;13;0;0;2;0;2;0;0;0;1;0;0;0;0;0;5;1;1;2;
org.openmrs.api.DuplicateIdentifierException;60;0;0;0;0;0;0;0;0;0;0;4;1;0;5;0;5;0;0;0;3;0;3;2;0;0;1;0;0;0;
org.openmrs.api.ConceptStopWordException;1;0;0;0;0;0;0;0;0;0;0;2;1;0;2;0;2;0;0;0;2;0;1;1;0;0;29;0;0;0;
org.openmrs.hl7.HL7Util;1;3;21;0;0;0;0;0;0;3;24;82;4;0;5;0;4;5;0;0;4;0;1;1;0;0;13;7;1;2;
org.openmrs.arden.MLMEvaluateElement;0;0;0;0;0;0;1;0;0;0;1;4;0;0;1;0;1;0;0;0;0;0;0;0;0;0;2;0;0;1;
org.openmrs.module.AdvicePoint;18;2;1;0;0;0;0;0;0;2;3;18;5;0;8;0;8;0;0;0;3;0;2;1;1;0;2;0;0;1;
org.openmrs.hl7.HL7InQueueProcessor;4;3;4;0;0;0;1;0;0;2;7;25;3;1;5;0;5;1;0;0;0;0;2;1;0;0;5;0;1;2;
org.openmrs.report.ReportData;76;0;0;0;0;0;0;0;0;0;0;6;3;0;7;0;7;0;0;0;0;0;3;1;1;0;4;0;0;0;
org.openmrs.api.db.hibernate.HibernateUtil;5;1;6;0;1;0;0;0;0;1;8;29;3;0;6;0;6;6;0;0;2;0;7;6;1;0;20;0;1;2;
org.openmrs.api.db.hibernate.HibernateEncounterDAO;107;0;30;0;3;0;0;0;0;0;33;171;2;0;36;5;31;0;1;0;15;11;43;23;6;0;35;0;3;3;
org.openmrs.BaseOpenmrsData;47;0;0;0;0;0;0;0;0;0;0;17;8;0;18;0;18;0;0;0;1;0;7;4;0;0;4;0;0;0;
org.openmrs.api.handler.BaseUnvoidHandler;48;0;2;0;0;0;0;0;0;0;2;6;0;0;1;0;1;0;0;0;1;0;3;1;0;0;5;0;1;2;
org.openmrs.propertyeditor.ProgramWorkflowEditor;0;1;3;0;0;0;0;0;0;1;4;11;1;0;3;0;3;0;0;0;1;0;0;0;0;0;7;1;1;3;
org.openmrs.reporting.ReportObjectWrapperExceptionListener;1;0;0;0;0;0;0;0;0;0;0;1;1;0;2;0;2;0;0;0;0;0;1;1;0;0;3;0;0;0;
org.openmrs.logic.op.Exists;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
org.openmrs.reporting.DrugOrderFilter;74;0;17;1;4;0;0;0;0;0;22;74;11;0;24;0;24;0;0;0;0;0;10;8;2;0;20;0;5;4;
org.openmrs.validator.LocationTagValidator;3;0;1;0;0;0;0;0;0;0;1;3;0;0;2;0;2;0;0;0;0;0;3;3;0;0;5;0;0;1;
org.openmrs.reporting.ReportObjectWrapper;48;0;1;0;0;0;0;0;0;0;1;50;14;0;36;0;36;1;0;0;6;0;13;8;0;0;8;0;0;1;
org.openmrs.report.RowPerObsDataSetDefinition;3;0;0;0;0;0;0;0;0;0;0;30;6;0;14;0;14;0;0;0;1;0;4;3;1;0;12;0;0;0;
org.openmrs.api.db.hibernate.search.bridge.OpenmrsObjectFieldBridge;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;1;0;0;2;0;0;0;
org.openmrs.FieldAnswer;52;0;0;0;0;0;0;0;0;0;0;16;6;0;13;0;13;0;0;0;0;0;5;2;0;0;1;2;0;0;
org.openmrs.patient.impl.BaseHyphenatedIdentifierValidator;0;1;16;1;0;0;0;11;1;1;29;64;0;0;7;1;4;0;0;0;4;1;0;0;0;0;2;7;1;2;
org.openmrs.OrderType;4;1;2;0;0;0;0;0;0;1;3;23;7;0;16;0;16;0;0;0;4;0;6;4;1;0;6;1;0;1;
org.openmrs.GlobalProperty;3;0;1;0;0;0;0;0;0;0;1;34;9;0;28;0;28;0;0;0;18;0;3;2;1;0;5;2;0;1;
org.openmrs.module.BaseModuleActivator;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;
org.openmrs.validator.LocationAttributeTypeValidator;3;0;2;0;0;0;0;0;0;0;2;6;0;0;2;0;2;0;0;0;0;0;3;3;1;0;6;0;1;2;
org.openmrs.propertyeditor.PatientIdentifierTypeEditor;0;1;3;0;0;0;0;0;0;1;4;11;1;0;3;0;3;0;0;0;1;0;0;0;0;0;7;1;1;3;
org.openmrs.util.ExceptionUtil;2;0;1;0;0;0;0;0;0;0;1;3;0;0;2;0;2;2;0;0;0;0;3;3;1;0;2;1;0;1;
org.openmrs.api.InvalidCharactersPasswordException;0;0;0;0;0;0;0;0;0;0;0;2;1;0;2;0;2;0;0;0;1;0;0;0;0;0;1;0;0;0;
org.openmrs.logic.op.First;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
org.openmrs.api.impl.CohortServiceImpl;78;1;9;1;2;0;0;0;0;1;13;61;3;0;32;1;31;1;0;0;5;1;25;9;5;0;22;4;1;2;
org.openmrs.customdatatype.CustomDatatypeUtil;8;8;8;0;4;0;0;0;0;8;20;54;1;0;14;0;14;14;0;0;5;0;11;2;7;0;16;6;3;3;
