ClassId;Dependencies;tryStatement;ifStatement;forStatement;enhancedForStatement/* foreach */;doStatement;whileStatement;switchCase;switchStatement;catchClause;totalBranches;numOfStatements;FieldDeclaration;synchronizedStatement;methodDeclaration;privateMethod;publicMethod;staticMethod;anonymousClassDeclaration;nbMemberClasses;nbStringParams;nbPrimitiveParams;nbOtherTypesParams;nbOtherTypesParamsLibrary;parameterizedTypeParam;arrayTypeParam;javaImports;trowStatement;NestedBlocks;MaxDepth
org.objectweb.asm.util.CheckSignatureAdapter;1;0;27;0;0;0;0;0;0;0;27;82;16;0;18;0;17;0;0;0;4;5;2;0;0;0;2;19;1;2;
org.objectweb.asm.tree.IincInsnNode;26;0;0;0;0;0;0;0;0;0;0;7;2;0;4;0;4;0;0;0;0;2;2;1;1;0;3;0;0;0;
org.objectweb.asm.tree.analysis.SourceValue;30;0;1;0;0;0;0;0;0;0;1;10;2;0;6;0;6;0;0;0;0;3;3;2;1;0;2;0;0;1;
org.objectweb.asm.Item;1;0;0;0;0;0;0;21;2;0;21;68;9;0;11;0;0;0;0;0;5;10;2;0;0;0;0;0;0;1;
org.objectweb.asm.tree.LookupSwitchInsnNode;28;0;2;3;0;0;0;0;0;0;5;21;3;0;4;0;4;0;0;0;0;0;5;3;1;2;7;0;1;2;
org.objectweb.asm.tree.JumpInsnNode;27;0;0;0;0;0;0;0;0;0;0;7;1;0;5;0;5;0;0;0;0;2;3;1;1;0;2;0;0;0;
org.objectweb.asm.xml.SAXClassAdapter;6;0;41;3;0;0;0;0;0;0;44;125;5;0;12;0;10;2;0;0;20;10;6;5;0;2;8;0;6;6;
org.objectweb.asm.Type;7;0;38;8;0;0;11;24;2;0;81;222;25;0;35;4;31;19;0;0;6;5;19;15;6;2;2;0;8;10;
org.objectweb.asm.commons.TryCatchBlockSorter;28;0;1;1;0;0;0;0;0;0;2;11;0;0;5;1;3;0;1;0;6;3;7;2;0;2;8;0;0;1;
org.objectweb.asm.Edge;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
org.objectweb.asm.tree.analysis.Frame;33;0;35;7;0;0;0;158;1;0;200;425;4;0;16;0;16;0;0;0;0;5;11;1;6;1;10;16;8;4;
org.objectweb.asm.tree.InsnList;30;0;29;0;0;0;5;0;0;0;34;181;6;0;33;0;31;0;0;1;0;4;20;2;0;0;3;2;3;2;
org.objectweb.asm.optimizer.ClassConstantsCollector;27;0;21;2;0;0;0;0;0;0;23;74;1;0;10;0;10;0;0;0;19;8;7;3;0;2;7;0;2;2;
org.objectweb.asm.tree.LocalVariableNode;27;0;0;0;0;0;0;0;0;0;0;7;6;0;2;0;2;0;0;0;3;1;3;0;0;0;1;0;0;0;
org.objectweb.asm.optimizer.JarOptimizer;3;0;16;1;0;1;3;0;0;0;21;56;6;0;12;0;10;2;1;2;23;9;7;7;0;5;22;2;3;5;
org.objectweb.asm.tree.VarInsnNode;26;0;0;0;0;0;0;0;0;0;0;7;1;0;5;0;5;0;0;0;0;3;2;1;1;0;2;0;0;0;
org.objectweb.asm.util.CheckMethodAdapter;26;5;82;14;1;2;1;22;3;5;127;446;14;0;58;3;34;17;1;0;43;50;38;15;3;7;22;71;14;3;
org.objectweb.asm.xml.Processor;17;9;46;3;0;0;5;8;2;9;71;248;36;0;59;12;36;5;1;10;28;14;37;33;0;5;34;9;13;4;
org.objectweb.asm.tree.analysis.SourceInterpreter;37;0;5;0;0;0;0;36;3;0;41;77;0;0;11;0;10;0;0;0;0;1;20;1;1;0;10;0;1;2;
org.objectweb.asm.xml.ASMContentHandler;26;2;70;7;0;0;1;11;1;2;91;481;13;0;69;2;58;1;0;39;67;4;40;39;0;0;16;5;9;12;
org.objectweb.asm.util.TraceMethodVisitor;29;0;0;0;0;0;0;0;0;0;0;56;1;0;32;0;32;0;0;0;21;33;29;9;0;7;7;0;0;0;
