org.scribe.services.PlaintextSignatureService;0
org.scribe.examples.Kaixin20Example;1;java.lang.String[]
org.scribe.examples.LiveExample;1;java.lang.String[]
org.scribe.utils.MapUtilsTest;0
org.scribe.builder.api.DefaultApi10a;2;OAuthConfig;Token
org.scribe.extractors.TokenExtractor20Test;0
org.scribe.builder.api.GetGlueApi;1;Token
org.scribe.oauth.OAuth10aServiceImpl;8;java.util.concurrent.TimeUnit;Verifier;DefaultApi10a;OAuthConfig;Request;Token;OAuthRequest;RequestTuner
org.scribe.services.HMACSha1SignatureService;1;byte[]
org.scribe.builder.api.TrelloApi;1;Token
org.scribe.builder.api.ConstantContactApi2;1;OAuthConfig
org.scribe.examples.GoogleExample;1;java.lang.String[]
org.scribe.examples.DiggExample;1;java.lang.String[]
org.scribe.exceptions.OAuthException;1;java.lang.Exception
org.scribe.builder.api.Foursquare2Api;1;OAuthConfig
org.scribe.services.RSASha1SignatureServiceTest;0
org.scribe.builder.api.NeteaseWeibooApi;1;Token
org.scribe.examples.RenrenExample;1;java.lang.String[]
org.scribe.builder.ServiceBuilder;4;java.lang.Class<? extends org.scribe.builder.Api>;Api;java.io.OutputStream;SignatureType
org.scribe.builder.api.KaixinApi20;1;OAuthConfig
org.scribe.builder.api.LoveFilmApi;1;Token
org.scribe.examples.LoveFilmExample;1;java.lang.String[]
org.scribe.model.ParameterListTest;0
org.scribe.extractors.HeaderExtractorImpl;1;OAuthRequest
org.scribe.examples.SinaWeiboExample;1;java.lang.String[]
org.scribe.examples.FoursquareExample;1;java.lang.String[]
org.scribe.services.TimestampServiceImpl;1;org.scribe.services.TimestampServiceImpl.Timer
org.scribe.extractors.TokenExtractorImpl;1;java.util.regex.Pattern
org.scribe.builder.api.ConstantContactApi;1;Token
org.scribe.builder.api.MendeleyApi;1;Token
org.scribe.model.Parameter;2;java.lang.Object;org.scribe.model.Parameter
org.scribe.builder.api.YahooApi;1;Token
org.scribe.model.OAuthRequestTest;0
org.scribe.builder.api.SinaWeiboApi;1;Token
org.scribe.builder.api.UbuntuOneApi;1;Token
org.scribe.builder.api.MisoApi;1;Token
org.scribe.builder.api.FoursquareApi;1;Token
org.scribe.services.DatatypeConverterEncoder;1;byte[]
org.scribe.model.RequestTest;0
org.scribe.builder.api.FreelancerApi;1;Token
org.scribe.model.TokenTest;0
org.scribe.examples.MeetupExample;1;java.lang.String[]
org.scribe.extractors.TokenExtractor20Impl;0
org.scribe.examples.XingExample;1;java.lang.String[]
org.scribe.builder.api.SapoApi;1;Token
org.scribe.examples.FlickrExample;1;java.lang.String[]
org.scribe.builder.api.SohuWeiboApi;1;Token
org.scribe.builder.api.VimeoApi;1;Token
org.scribe.model.Request;6;java.util.concurrent.TimeUnit;org.scribe.model.Request;Verb;RequestTuner;byte[];java.net.HttpURLConnection
org.scribe.utils.StreamUtils;1;java.io.InputStream
org.scribe.builder.api.AWeberApi;1;Token
org.scribe.builder.api.SimpleGeoApi;1;Token
org.scribe.utils.Preconditions;1;java.lang.Object
org.scribe.examples.Px500Example;1;java.lang.String[]
org.scribe.examples.LinkedInExample;1;java.lang.String[]
org.scribe.model.Response;1;java.net.HttpURLConnection
org.scribe.model.RequestTuner;1;Request
org.scribe.model.OAuthConfig;2;java.io.OutputStream;SignatureType
org.scribe.exceptions.OAuthConnectionException;1;java.lang.Exception
org.scribe.exceptions.OAuthSignatureException;1;java.lang.Exception
org.scribe.model.Verifier;0
org.scribe.examples.LinkedInExampleWithScopes;1;java.lang.String[]
org.scribe.model.OAuthRequest;1;Verb
org.scribe.extractors.BaseStringExtractorImpl;1;OAuthRequest
org.scribe.examples.FreelancerExample;1;java.lang.String[]
org.scribe.builder.api.RenrenApi;1;OAuthConfig
org.scribe.examples.TwitterExample;1;java.lang.String[]
org.scribe.examples.FacebookExample;1;java.lang.String[]
org.scribe.builder.api.PlurkApi;1;Token
org.scribe.services.RSASha1SignatureService;2;java.security.Signature;java.security.PrivateKey
org.scribe.builder.api.LinkedInApi;2;java.util.Set<java.lang.String>;Token
org.scribe.examples.VkontakteExample;1;java.lang.String[]
org.scribe.builder.api.ViadeoApi;1;OAuthConfig
org.scribe.services.TimestampServiceTest;0
org.scribe.model.ResponseTest;0
org.scribe.builder.api.DefaultApi20;1;OAuthConfig
org.scribe.builder.api.FacebookApi;1;OAuthConfig
org.scribe.builder.api.SinaWeiboApi20;1;OAuthConfig
org.scribe.builder.ServiceBuilderTest;1;OAuthConfig
org.scribe.exceptions.OAuthParametersMissingException;1;OAuthRequest
org.scribe.builder.api.LiveApi;1;OAuthConfig
org.scribe.examples.SinaWeibo2Example;1;java.lang.String[]
org.scribe.builder.api.TwitterApi;1;Token
org.scribe.builder.api.TumblrApi;1;Token
org.scribe.utils.MapUtils;1;java.util.Map<K,V>
org.scribe.builder.api.EvernoteApi;1;Token
org.scribe.examples.NeteaseWeiboExample;1;java.lang.String[]
