ClassId;Dependencies;tryStatement;ifStatement;forStatement;enhancedForStatement/* foreach */;doStatement;whileStatement;switchCase;switchStatement;catchClause;totalBranches;numOfStatements;FieldDeclaration;synchronizedStatement;methodDeclaration;privateMethod;publicMethod;staticMethod;anonymousClassDeclaration;nbMemberClasses;nbStringParams;nbPrimitiveParams;nbOtherTypesParams;nbOtherTypesParamsLibrary;parameterizedTypeParam;arrayTypeParam;javaImports;trowStatement;NestedBlocks;MaxDepth
org.scribe.services.PlaintextSignatureService;0;1;0;0;0;0;0;0;0;1;1;5;1;0;2;0;2;0;0;0;3;0;0;0;0;0;2;1;0;1;
org.scribe.examples.Kaixin20Example;1;0;0;0;0;0;0;0;0;0;0;21;3;0;1;0;1;1;0;0;0;0;1;1;0;1;5;0;0;0;
org.scribe.examples.LiveExample;1;0;0;0;0;0;0;0;0;0;0;21;2;0;1;0;1;1;0;0;0;0;1;1;0;1;5;0;0;0;
org.scribe.utils.MapUtilsTest;0;0;0;0;0;0;0;0;0;0;0;7;0;0;3;0;3;0;0;0;0;0;0;0;0;0;2;0;0;0;
org.scribe.builder.api.DefaultApi10a;2;0;0;0;0;0;0;0;0;0;0;9;0;0;12;0;12;0;0;0;0;0;2;2;0;0;4;0;0;0;
org.scribe.extractors.TokenExtractor20Test;0;0;0;0;0;0;0;0;0;0;0;10;1;0;7;0;7;0;0;0;0;0;0;0;0;0;4;0;0;0;
org.scribe.builder.api.GetGlueApi;1;0;0;0;0;0;0;0;0;0;0;3;3;0;3;0;3;0;0;0;0;0;1;1;0;0;1;0;0;0;
org.scribe.oauth.OAuth10aServiceImpl;8;0;2;0;1;0;0;2;1;0;5;57;5;0;15;3;12;0;0;1;0;3;22;22;0;0;6;0;0;1;
org.scribe.services.HMACSha1SignatureService;1;1;0;0;0;0;0;0;0;1;1;9;5;0;4;2;2;0;0;0;5;0;1;1;0;1;4;1;0;1;
org.scribe.builder.api.TrelloApi;1;0;0;0;0;0;0;0;0;0;0;3;1;0;3;0;3;0;0;0;0;0;1;1;0;0;1;0;0;0;
org.scribe.builder.api.ConstantContactApi2;1;0;1;0;0;0;0;0;0;0;1;8;1;0;5;0;5;0;1;0;1;0;1;1;0;0;5;1;0;1;
org.scribe.examples.GoogleExample;1;0;0;0;0;0;0;0;0;0;0;24;4;0;1;0;1;1;0;0;0;0;1;1;0;1;5;0;0;0;
org.scribe.examples.DiggExample;1;0;0;0;0;0;0;0;0;0;0;25;2;0;1;0;1;1;0;0;0;0;1;1;0;1;5;0;0;0;
org.scribe.exceptions.OAuthException;1;0;0;0;0;0;0;0;0;0;0;2;1;0;2;0;2;0;0;0;2;0;1;1;0;0;0;0;0;0;
