ClassId;Dependencies;tryStatement;ifStatement;forStatement;enhancedForStatement/* foreach */;doStatement;whileStatement;switchCase;switchStatement;catchClause;totalBranches;numOfStatements;FieldDeclaration;synchronizedStatement;methodDeclaration;privateMethod;publicMethod;staticMethod;anonymousClassDeclaration;nbMemberClasses;nbStringParams;nbPrimitiveParams;nbOtherTypesParams;nbOtherTypesParamsLibrary;parameterizedTypeParam;arrayTypeParam;javaImports;trowStatement;NestedBlocks;MaxDepth
org.springframework.security.authentication.event.AbstractAuthenticationEvent;1;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;1;0;0;0;2;0;0;0;
org.springframework.security.authentication.jaas.JaasGrantedAuthority;2;0;2;0;0;0;0;0;0;0;2;11;3;0;6;0;6;0;0;0;1;0;2;2;0;0;3;0;0;1;
org.springframework.security.authentication.rcp.RemoteAuthenticationManagerImpl;1;1;0;0;0;0;0;0;0;1;1;6;1;0;4;0;3;0;0;0;2;0;1;0;0;0;9;1;0;1;
org.springframework.security.authentication.dao.SystemWideSaltSource;1;0;1;0;0;0;0;0;0;0;1;6;1;0;5;0;5;0;0;0;1;0;1;0;0;0;3;1;0;1;
org.springframework.security.context.DelegatingApplicationListener;2;0;2;0;1;0;0;0;0;0;3;7;1;0;2;0;2;0;0;0;0;0;2;2;0;0;6;0;1;2;
org.springframework.security.authentication.jaas.DefaultLoginExceptionResolver;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;1;0;0;3;0;0;0;
org.springframework.security.access.event.AuthorizationFailureEvent;5;0;1;0;0;0;0;0;0;0;1;9;3;0;4;0;4;0;0;0;0;0;4;2;1;0;4;1;0;1;
org.springframework.security.authentication.event.AuthenticationFailureLockedEvent;3;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;2;0;0;0;2;0;0;0;
org.springframework.security.access.intercept.RunAsUserToken;3;0;0;0;0;0;0;0;0;0;0;12;5;0;6;0;6;0;0;0;1;0;4;4;2;0;5;0;0;0;
org.springframework.security.core.context.SecurityContextImpl;2;0;5;0;0;0;0;0;0;0;5;16;2;0;5;0;5;0;0;0;0;0;2;1;0;0;2;0;1;2;
org.springframework.security.concurrent.DelegatingSecurityContextRunnable;2;1;1;0;0;0;0;0;0;0;1;17;4;0;6;0;6;1;0;0;0;1;5;3;0;0;3;0;0;1;
org.springframework.security.access.intercept.RunAsImplAuthenticationProvider;3;0;1;0;0;0;0;0;0;0;1;8;2;0;6;0;6;0;0;0;1;0;3;2;1;0;10;1;0;1;
org.springframework.security.authentication.ProviderNotFoundException;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;
org.springframework.security.authentication.jaas.SecurityContextLoginModule;3;0;6;0;0;0;0;0;0;0;6;25;4;0;7;0;5;0;0;0;0;0;4;4;0;0;11;1;1;2;
org.springframework.security.authentication.encoding.PlaintextPasswordEncoder;1;0;1;0;0;0;0;0;0;0;1;8;1;0;5;0;5;0;0;0;4;1;2;2;0;0;1;0;0;1;
org.springframework.security.authentication.event.AuthenticationFailureServiceExceptionEvent;3;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;2;0;0;0;2;0;0;0;
org.springframework.security.access.method.AbstractMethodSecurityMetadataSource;2;0;4;0;0;0;0;0;0;0;4;10;1;0;2;0;2;0;0;0;0;0;2;2;1;0;6;1;1;2;
org.springframework.security.core.userdetails.UsernameNotFoundException;1;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;2;0;1;1;0;0;1;0;0;0;
org.springframework.security.concurrent.DelegatingSecurityContextCallable;2;1;1;0;0;0;0;0;0;0;1;15;4;0;6;0;6;1;0;0;0;1;5;3;3;0;4;0;0;1;
org.springframework.security.authentication.jaas.event.JaasAuthenticationEvent;1;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;1;0;0;0;2;0;0;0;
org.springframework.security.authentication.encoding.BasePasswordEncoder;1;0;6;0;0;0;0;0;0;0;6;14;0;0;2;0;0;0;0;0;2;1;1;1;0;0;0;2;1;2;
org.springframework.security.core.authority.mapping.SimpleAttributes2GrantedAuthoritiesMapper;1;0;3;0;1;0;0;0;0;0;4;19;4;0;11;5;6;0;0;0;2;3;1;1;1;0;8;0;1;2;
org.springframework.security.access.hierarchicalroles.RoleHierarchyImpl;3;0;10;0;4;0;2;0;0;0;16;45;4;0;6;4;2;0;0;0;1;0;4;2;2;0;8;1;5;4;
org.springframework.security.access.intercept.AfterInvocationProviderManager;6;0;4;0;4;0;0;0;0;0;8;22;2;0;7;1;6;0;0;0;0;0;8;6;4;0;15;1;2;2;
org.springframework.security.util.InMemoryResource;2;0;1;0;0;0;0;0;0;0;1;11;2;0;7;0;7;0;0;0;2;0;3;3;0;2;6;0;0;1;
org.springframework.security.authentication.jaas.memory.InMemoryConfiguration;2;0;0;0;0;0;0;0;0;0;0;6;2;0;5;0;5;0;0;0;1;0;4;4;2;2;5;0;0;0;
org.springframework.security.authentication.jaas.event.JaasAuthenticationSuccessEvent;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;
org.springframework.security.access.expression.DenyAllPermissionEvaluator;3;0;0;0;0;0;0;0;0;0;0;4;1;0;2;0;2;0;0;0;1;0;6;4;0;0;5;0;0;0;
org.springframework.security.authentication.CredentialsExpiredException;1;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;2;0;1;1;0;0;0;0;0;0;
org.springframework.security.authentication.AuthenticationTrustResolverImpl;2;0;2;0;0;0;0;0;0;0;2;10;2;0;6;0;4;0;0;0;0;0;4;2;2;0;2;0;0;1;
org.springframework.security.access.annotation.Jsr250MethodSecurityMetadataSource;3;0;7;0;2;0;0;0;0;0;9;25;1;0;6;2;2;0;0;0;2;0;4;4;2;1;17;0;1;3;
org.springframework.security.core.userdetails.UserDetailsByNameServiceWrapper;2;0;0;0;0;0;0;0;0;0;0;5;1;0;5;0;5;0;0;0;0;0;3;0;0;0;8;0;0;0;
org.springframework.security.access.annotation.SecuredAnnotationSecurityMetadataSource;4;0;1;0;0;0;0;0;0;0;1;11;2;0;6;1;3;0;0;0;0;0;5;4;2;0;15;0;0;1;
org.springframework.security.authentication.rcp.RemoteAuthenticationException;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;1;0;0;0;0;0;2;0;0;0;
org.springframework.security.authentication.BadCredentialsException;1;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;2;0;1;1;0;0;1;0;0;0;
org.springframework.security.authentication.event.AuthenticationFailureProviderNotFoundEvent;3;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;2;0;0;0;2;0;0;0;
org.springframework.security.authentication.DisabledException;1;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;2;0;1;1;0;0;0;0;0;0;
org.springframework.security.access.vote.AbstractAclVoter;2;0;1;1;0;0;0;0;0;0;2;11;1;0;4;0;3;0;0;0;0;0;3;3;2;0;4;1;1;2;
org.springframework.security.core.authority.AuthorityUtils;1;0;0;0;2;0;0;0;0;0;2;7;1;0;3;0;3;3;0;0;2;0;1;1;1;0;14;0;0;1;
org.springframework.security.authentication.encoding.LdapShaPasswordEncoder;2;1;8;0;0;0;0;0;0;1;9;32;6;0;7;3;4;0;0;0;5;1;4;4;0;2;5;3;1;2;
org.springframework.security.authentication.AccountStatusUserDetailsChecker;1;0;4;0;0;0;0;0;0;0;4;8;1;0;1;0;1;0;0;0;0;0;1;0;0;0;4;4;0;1;
