ClassId;Dependencies;tryStatement;ifStatement;forStatement;enhancedForStatement/* foreach */;doStatement;whileStatement;switchCase;switchStatement;catchClause;totalBranches;numOfStatements;FieldDeclaration;synchronizedStatement;methodDeclaration;privateMethod;publicMethod;staticMethod;anonymousClassDeclaration;nbMemberClasses;nbStringParams;nbPrimitiveParams;nbOtherTypesParams;nbOtherTypesParamsLibrary;parameterizedTypeParam;arrayTypeParam;javaImports;trowStatement;NestedBlocks;MaxDepth
twitter4j.EntityIndex;1;0;2;0;0;0;0;0;0;0;2;9;3;0;5;0;1;0;0;0;0;2;1;0;0;0;0;0;1;2;
twitter4j.conf.ConfigurationBase;3;1;61;0;1;0;0;0;0;1;63;291;53;0;113;2;59;3;0;1;31;27;5;3;0;0;11;1;1;3;
twitter4j.ParseUtil;2;5;12;0;0;0;0;8;2;5;25;75;1;0;15;1;12;14;0;0;15;0;10;10;0;0;9;2;4;2;
twitter4j.JULLogger;2;0;0;0;0;0;0;0;0;0;0;13;1;0;13;0;12;0;0;0;11;0;2;2;0;0;1;0;0;0;
twitter4j.HttpClientBase;6;1;3;0;0;0;0;0;0;1;4;30;4;0;17;0;15;0;0;0;12;0;18;18;0;4;8;1;1;2;
twitter4j.PagingTest;1;7;2;0;1;0;0;0;0;7;10;60;0;0;3;1;2;0;0;0;2;1;1;1;1;0;1;0;1;2;
twitter4j.Paging;3;0;16;0;1;0;0;0;0;0;17;77;11;0;27;1;21;0;0;0;3;22;6;6;1;4;2;5;1;2;
twitter4j.TwitterFactory;3;5;4;0;0;0;0;0;0;10;14;37;5;0;7;0;7;1;0;0;1;0;3;3;0;0;8;10;1;2;
twitter4j.TwitterResponseImpl;1;0;0;0;0;0;0;0;0;0;0;5;3;0;4;0;4;0;0;0;0;0;1;1;0;0;0;0;0;0;
twitter4j.HttpParameter;5;1;24;2;2;0;0;0;0;1;29;102;9;0;26;0;25;8;0;0;19;7;7;7;1;2;5;2;5;5;
twitter4j.DirectMessagesResourcesTest;0;1;2;0;1;0;0;0;0;1;4;34;0;0;3;0;2;0;0;0;1;0;0;0;0;0;1;0;1;2;
twitter4j.auth.ApplicationOnlyAuthTest;0;6;0;0;1;0;0;0;0;3;4;62;1;0;11;2;8;0;0;0;4;0;0;0;0;0;6;0;0;1;
twitter4j.util.CharacterUtil;0;0;0;0;0;0;0;0;0;0;0;3;0;0;3;1;2;2;0;0;2;0;0;0;0;0;0;1;0;0;
twitter4j.SLF4JLogger;2;0;0;0;0;0;0;0;0;0;0;13;1;0;13;0;12;0;0;0;11;0;2;2;0;0;0;0;0;0;
twitter4j.LocationJSONImpl;5;2;7;1;0;0;0;0;0;2;10;41;8;0;13;0;10;2;0;0;0;1;5;5;0;0;1;2;1;2;
twitter4j.conf.ConfigurationContext;0;2;0;0;0;0;0;0;0;4;4;10;3;0;2;0;2;2;0;0;1;0;0;0;0;0;0;3;0;1;
twitter4j.OEmbedJSONImpl;4;1;10;0;0;0;0;0;0;1;11;50;8;0;13;1;10;0;0;0;0;0;5;5;0;0;1;1;0;1;
twitter4j.URLEntityJSONImpl;2;1;7;0;0;0;0;0;0;1;8;40;4;0;13;1;9;0;0;0;3;2;3;3;0;0;0;1;0;1;
twitter4j.StatusJSONImpl;5;2;25;9;0;0;0;0;0;2;36;145;29;0;39;1;33;1;0;0;0;0;10;10;0;0;4;2;6;3;
twitter4j.TwitterObjectFactory;2;14;3;0;0;0;0;7;1;14;24;71;2;0;21;1;17;19;1;0;16;0;3;2;0;0;2;16;1;2;
twitter4j.SpamReportingResourceTest;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;
twitter4j.ListResourcesTest;0;5;7;0;1;0;0;0;0;5;13;223;0;0;11;1;9;0;0;0;1;0;0;0;0;0;1;0;1;2;
twitter4j.PlaceGeoResourcesTest;0;1;0;0;0;0;0;0;0;1;1;33;0;0;4;0;3;0;0;0;1;0;0;0;0;0;0;0;0;1;
twitter4j.TwitterException;4;2;21;0;0;0;0;14;1;2;37;118;8;0;25;3;21;1;0;0;6;2;5;5;0;0;2;0;3;3;
twitter4j.HttpRequest;5;0;8;0;0;0;0;0;0;0;8;34;7;0;9;0;9;0;0;0;1;0;5;5;1;1;3;0;0;1;
twitter4j.TrendsJSONImpl;9;3;13;1;0;0;1;0;0;3;18;67;5;0;16;2;8;3;0;0;3;5;11;11;0;1;5;4;2;4;
twitter4j.AccountTotalsJSONImpl;4;0;7;0;0;0;0;0;0;0;7;32;5;0;10;1;7;0;0;0;0;0;6;6;0;0;1;0;0;1;
twitter4j.KryoSerializationTest;0;0;0;0;0;0;0;0;0;0;0;18;2;0;2;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;
twitter4j.NullLoggerFactory;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;
twitter4j.StringUtilTest;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;
twitter4j.RelationshipJSONImpl;4;2;17;1;0;0;0;0;0;2;20;83;12;0;20;0;16;1;0;0;0;0;8;8;0;0;1;2;1;2;
twitter4j.HelpResoursesTest;0;0;0;0;0;0;0;0;0;0;0;15;0;0;4;0;3;0;0;0;1;0;0;0;0;0;1;0;0;0;
twitter4j.TrendJSONImpl;2;0;6;0;0;0;0;0;0;0;6;24;4;0;8;0;6;0;0;0;0;1;3;3;0;0;0;0;0;1;
twitter4j.NullLogger;1;0;0;0;0;0;0;0;0;0;0;4;0;0;12;0;12;0;0;0;11;0;1;1;0;0;0;0;0;0;
twitter4j.Logger;2;2;7;0;0;0;0;0;0;7;14;26;2;0;14;1;13;2;0;0;13;0;2;2;0;0;4;2;0;1;
twitter4j.CommonsLoggingLoggerFactory;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;
twitter4j.DispatcherTest;0;0;1;0;1;0;0;0;0;0;2;20;2;0;5;1;3;0;0;1;2;0;0;0;0;0;3;0;1;2;
twitter4j.DispatcherImpl;2;0;0;0;0;0;0;0;0;0;0;8;2;0;5;0;5;0;2;0;0;0;3;3;0;0;4;0;0;0;
twitter4j.HashtagEntityJSONImpl;2;1;4;0;0;0;0;0;0;1;5;24;2;0;10;1;6;0;0;0;1;2;3;3;0;0;0;1;0;1;
twitter4j.UploadedMedia;2;1;8;0;0;0;0;0;0;1;9;35;6;0;10;1;8;0;0;0;0;0;3;3;0;0;0;1;0;1;
twitter4j.HTMLEntity;5;0;18;1;1;0;2;0;0;0;22;72;2;0;5;0;0;5;0;0;3;0;6;6;0;4;3;0;4;4;
twitter4j.UserListJSONImpl;5;4;13;2;0;0;0;0;0;4;19;73;13;0;21;1;16;2;0;0;0;0;10;10;0;0;4;3;3;2;
twitter4j.auth.RequestToken;2;0;0;0;0;0;0;0;0;0;0;10;3;0;5;0;3;0;0;0;4;0;3;3;0;0;4;0;0;0;
twitter4j.GeoLocation;1;0;4;0;0;0;0;0;0;0;4;19;3;0;7;0;6;0;0;0;0;2;1;1;0;0;0;0;0;1;
twitter4j.QueryResultJSONImpl;4;1;11;1;0;0;0;0;0;1;13;60;9;0;14;0;12;0;0;0;0;0;4;4;0;0;3;1;0;1;
twitter4j.ExceptionDiagnosis;3;0;6;1;1;0;0;0;0;0;8;31;4;0;11;1;3;0;0;0;0;1;4;4;0;1;1;0;1;3;
twitter4j.GeoQuery;3;0;11;0;0;0;0;0;0;0;11;54;7;0;22;3;18;0;0;0;10;4;5;5;3;0;2;0;0;1;
twitter4j.SavedSearchesResourcesTest;0;1;0;0;1;0;0;0;0;1;2;16;0;0;3;0;2;0;0;0;1;0;0;0;0;0;1;0;0;1;
twitter4j.auth.AuthorizationFactory;1;0;6;0;0;0;0;0;0;0;6;14;0;0;1;0;1;1;0;0;0;0;1;1;0;0;2;0;1;3;
twitter4j.SizeofStatusChecker;1;0;0;1;0;0;0;0;0;0;1;6;0;0;1;0;1;1;0;0;0;0;1;1;0;1;5;0;0;1;
twitter4j.Version;1;0;0;0;0;0;0;0;0;0;0;3;2;0;3;1;2;2;0;0;0;0;1;1;0;1;4;1;0;0;
twitter4j.HttpResponseEvent;4;0;4;0;0;0;0;0;0;0;4;19;3;0;8;0;7;0;0;0;0;0;4;4;0;0;0;0;0;1;
twitter4j.LoggerFactory;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;
twitter4j.TwitterAPIMonitor;0;1;1;0;0;0;0;0;0;4;5;14;4;0;4;1;2;1;0;0;1;2;0;0;0;0;14;0;0;1;
twitter4j.HttpResponseImpl;2;1;3;0;0;0;0;0;0;1;4;16;1;0;5;0;3;0;0;0;2;0;2;2;0;0;4;1;1;2;
twitter4j.StringUtil;2;0;2;0;2;0;0;0;0;0;4;11;0;0;3;1;2;2;0;0;0;0;2;2;0;2;0;1;2;2;
twitter4j.SavedSearchJSONImpl;5;1;8;1;0;0;0;0;0;1;10;44;6;0;13;1;9;1;0;0;0;0;8;8;0;0;2;1;1;2;
twitter4j.PagableResponseListImpl;3;0;0;0;0;0;0;0;0;0;0;10;3;0;6;0;4;0;0;0;0;2;3;3;0;0;2;0;0;0;
twitter4j.util.CharacterUtilTest;0;0;0;0;0;0;0;0;0;0;0;26;0;0;4;0;2;0;0;0;1;0;0;0;0;0;1;0;0;0;
twitter4j.TwitterExceptionTest;0;0;0;0;0;0;0;0;0;0;0;16;0;0;4;0;4;0;0;0;1;0;0;0;0;0;1;0;0;0;
twitter4j.SearchAPITest;1;0;1;0;1;1;0;0;0;0;3;52;0;0;6;1;4;0;0;0;2;0;1;1;0;1;3;0;1;2;
twitter4j.HttpResponse;1;9;15;0;0;0;1;0;0;9;25;67;8;0;13;1;11;0;0;0;1;0;1;1;0;0;4;6;3;3;
twitter4j.auth.OAuthToken;3;0;7;0;1;0;0;0;0;0;8;31;5;0;11;0;7;0;0;0;4;0;3;3;0;0;4;2;1;2;
twitter4j.Log4JLogger;2;0;0;0;0;0;0;0;0;0;0;13;1;0;13;0;12;0;0;0;11;0;2;2;0;0;0;0;0;0;
twitter4j.FavoritesResourcesTest;0;2;0;0;0;0;0;0;0;2;2;17;0;0;3;0;2;0;0;0;1;0;0;0;0;0;0;0;0;1;
twitter4j.OEmbedRequest;4;0;14;0;0;0;0;0;0;0;14;71;10;0;21;2;18;0;0;0;6;10;7;5;2;2;5;0;0;1;
twitter4j.util.TimeSpanConverterTest;0;0;1;0;1;0;0;0;0;0;2;61;4;0;13;4;7;0;0;0;2;6;0;0;0;0;3;0;1;2;
twitter4j.JULLoggerFactory;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;
twitter4j.Log4JLoggerFactory;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;
twitter4j.JSONException;1;0;0;0;0;0;0;0;0;0;0;4;2;0;3;0;3;0;0;0;1;0;1;1;0;0;0;0;0;0;
twitter4j.TwitterBaseImpl;10;0;36;0;3;0;0;0;0;0;39;135;9;0;32;5;22;0;0;0;9;0;11;11;0;0;9;10;6;4;
twitter4j.ResponseListImpl;2;0;0;0;0;0;0;0;0;0;0;11;3;0;6;1;2;0;0;0;0;2;4;4;0;0;1;0;0;0;
twitter4j.RateLimitStatusEvent;2;0;0;0;0;0;0;0;0;0;0;6;3;0;4;0;3;0;0;0;0;1;2;2;0;0;1;0;0;0;
twitter4j.DirectMessageJSONImpl;4;2;12;6;0;0;0;0;0;2;20;88;16;0;22;1;18;1;0;0;0;0;7;7;0;0;3;2;2;3;
twitter4j.MBeanServerRunner;1;0;0;1;0;0;0;0;0;0;1;9;0;0;1;0;1;1;0;0;0;0;1;1;0;1;5;0;0;1;
twitter4j.AuthorizationTest;0;2;0;0;0;0;0;0;0;2;2;17;0;0;6;0;4;0;0;0;1;0;0;0;0;0;5;0;0;1;
twitter4j.BASE64Encoder;1;0;3;2;0;0;1;4;1;0;10;31;7;0;2;1;1;1;0;0;0;0;1;1;0;1;0;0;2;3;
twitter4j.management.InvocationStatisticsCalculator;0;0;2;1;0;0;0;0;0;0;3;25;6;0;9;0;8;0;0;0;1;3;0;0;0;0;0;0;0;1;
twitter4j.TrendsResourcesTest;0;0;0;0;0;0;0;0;0;0;0;9;0;0;3;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;
twitter4j.JSONTokener;2;1;12;2;0;0;2;20;3;1;37;115;7;0;14;0;14;0;0;0;2;3;2;2;0;0;1;7;5;2;
twitter4j.LanguageJSONImpl;4;2;3;1;0;0;0;0;0;2;6;23;3;0;7;1;3;2;0;0;0;0;7;7;0;0;2;2;1;2;
twitter4j.JSONObjectType;1;2;25;0;0;0;0;0;0;2;27;53;1;0;1;0;1;1;0;0;0;0;1;1;0;0;0;0;1;21;
twitter4j.UserMentionEntityJSONImpl;2;1;7;0;0;0;0;0;0;1;8;38;4;0;13;1;9;0;0;0;2;3;3;3;0;0;0;1;0;1;
twitter4j.StdOutLoggerFactory;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;
twitter4j.management.APIStatistics;0;0;1;0;1;0;0;0;0;0;2;21;3;0;12;1;11;0;0;0;3;3;0;0;0;0;3;0;0;1;
twitter4j.JSONImplFactory;6;5;6;2;0;0;0;0;0;5;13;72;2;0;43;0;41;6;0;0;6;7;38;38;0;0;3;5;3;2;
twitter4j.HttpClientFactory;1;5;4;0;0;0;0;0;0;7;11;22;3;0;2;0;2;2;0;0;0;0;1;1;0;0;4;5;3;2;
twitter4j.ParseUtilTest;0;0;0;0;0;0;0;0;0;0;0;5;0;0;4;0;4;0;0;0;1;0;0;0;0;0;4;0;0;0;
twitter4j.conf.PropertyConfiguration;2;8;54;0;5;0;0;0;0;9;68;159;51;0;16;6;3;0;0;0;15;0;14;14;0;0;5;0;5;3;
twitter4j.conf.PropertyConfigurationFactory;0;0;0;0;0;0;0;0;0;0;0;4;1;0;3;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;
twitter4j.AccountSettingsJSONImpl;3;1;3;1;0;0;0;0;0;1;5;35;11;0;13;1;10;0;0;0;0;0;5;5;0;0;1;1;1;2;
twitter4j.MBeansIntegrationTest;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;
twitter4j.SLF4JLoggerFactory;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;
twitter4j.CommonsLoggingLogger;2;0;0;0;0;0;0;0;0;0;0;13;1;0;13;0;12;0;0;0;11;0;2;2;0;0;0;0;0;0;
twitter4j.SuggestedUsersResourcesTest;0;0;0;0;0;0;0;0;0;0;0;17;0;0;3;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;
twitter4j.TwitterImpl;18;9;34;0;0;0;0;0;0;5;39;343;6;0;219;11;207;0;0;0;121;172;57;57;1;20;11;7;3;3;
twitter4j.TwitterAPIConfigurationJSONImpl;3;1;11;1;0;0;0;0;0;1;13;57;8;0;11;0;10;0;0;0;0;0;3;3;0;0;4;1;0;1;
twitter4j.ScopesImpl;1;0;0;0;0;0;0;0;0;0;0;3;1;0;3;0;2;0;0;0;0;0;1;1;0;1;0;0;0;0;
twitter4j.HttpClientImpl;4;5;22;1;4;0;1;0;0;4;32;102;3;0;9;1;6;1;1;0;3;0;6;6;0;1;6;2;5;6;
twitter4j.JSONObject;9;10;77;5;4;0;6;16;3;10;118;313;2;0;48;1;44;7;0;1;26;9;21;20;0;1;5;18;16;5;
twitter4j.auth.AccessToken;2;1;7;0;0;0;0;0;0;1;8;29;3;0;9;0;7;0;0;0;5;1;2;2;0;0;41;0;1;2;
twitter4j.DispatcherFactory;1;1;0;0;0;0;0;0;0;6;6;11;2;0;3;0;3;0;0;0;0;0;1;1;0;0;3;6;0;1;
twitter4j.StatusDeletionNoticeImpl;3;0;6;0;0;0;0;0;0;0;6;21;3;0;7;0;6;0;0;0;0;0;3;3;0;0;3;0;1;2;
twitter4j.http.PostParameterTest;0;0;0;0;0;0;0;0;0;0;0;25;0;0;4;1;3;0;0;0;3;0;0;0;0;0;3;0;0;0;
twitter4j.UserJSONImplTest;0;0;0;0;0;0;0;0;0;0;0;26;0;0;3;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;
twitter4j.FriendshipJSONImpl;4;2;12;2;0;0;0;0;0;2;16;50;6;0;10;0;8;1;0;0;0;0;4;4;0;0;1;2;2;3;
twitter4j.UsersResourcesTest;3;0;6;0;1;0;0;0;0;0;7;167;3;0;13;3;9;2;0;0;1;0;3;3;1;1;3;0;1;2;
twitter4j.StdOutLogger;1;0;2;0;0;0;0;0;0;0;2;15;1;0;12;0;12;0;0;0;11;0;1;1;0;0;1;0;0;1;
twitter4j.util.TimeSpanConverter;2;0;13;0;0;0;0;0;0;0;13;80;13;0;5;1;4;0;0;0;0;2;2;2;0;0;5;0;4;6;
twitter4j.PlaceJSONImpl;6;3;12;2;0;0;0;0;0;3;17;78;14;0;23;1;17;2;0;0;0;0;11;11;0;0;2;3;3;3;
twitter4j.StreamingGZIPInputStream;1;0;0;0;0;0;0;0;0;0;0;3;1;0;2;0;2;0;0;0;0;0;1;1;0;0;3;0;0;0;
twitter4j.conf.ConfigurationBuilder;1;1;1;0;0;0;0;0;0;0;1;145;1;0;48;1;47;0;0;0;25;20;1;1;0;0;1;1;0;1;
twitter4j.StatusUpdate;6;0;19;0;0;0;0;0;0;0;19;89;11;0;30;3;25;0;0;0;9;8;11;11;3;1;5;0;1;3;
twitter4j.TwitterTestBase;0;0;0;0;0;0;0;0;0;0;0;33;15;0;5;0;2;0;0;1;2;0;0;0;0;0;5;0;0;0;
twitter4j.management.APIStatisticsOpenMBean;5;3;7;0;2;0;0;0;0;3;12;44;6;0;9;0;9;0;0;0;2;0;6;6;0;3;3;5;3;5;
twitter4j.UserJSONImpl;6;3;19;3;0;0;0;0;0;3;25;152;40;0;63;3;54;4;0;0;3;0;14;14;0;0;2;3;4;4;
twitter4j.http.BASE64EncoderTest;0;0;0;0;0;0;0;0;0;0;0;7;0;0;2;0;2;0;0;0;1;0;0;0;0;0;2;0;0;0;
twitter4j.CategoryJSONImpl;5;1;8;1;0;0;0;0;0;1;10;35;4;0;10;0;6;2;0;0;0;0;8;8;0;0;1;1;1;2;
twitter4j.management.MBeansTest;2;0;2;1;2;0;0;0;0;0;5;91;0;0;6;2;4;0;0;0;2;8;2;2;0;0;8;0;1;2;
twitter4j.TimeZoneJSONImpl;1;1;0;0;0;0;0;0;0;1;1;8;4;0;4;0;3;0;0;0;0;0;1;1;0;0;0;1;0;1;
twitter4j.XAuthAuthorization;2;0;0;0;0;0;0;0;0;0;0;9;4;0;8;0;8;0;0;0;2;0;2;2;0;0;2;0;0;0;
